symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,1,2022-07-26,327.00,327.00,327.00,327.00,0.00,"2,620.00","262,000.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,2,2022-05-05,327.00,327.00,327.00,327.00,0.00,"13,100.00","7,135,100.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,3,2021-10-04,327.00,327.00,327.00,327.00,0.00,100.00,"53,100.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,4,2021-10-03,327.00,327.00,327.00,327.00,0.00,"145,290.00","67,320,610.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,5,2021-09-26,327.00,327.00,327.00,327.00,0.00,"43,260.00","19,229,606.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,6,2021-06-20,327.00,327.00,327.00,327.00,0.00,200.00,"110,000.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,7,2021-06-01,327.00,327.00,327.00,327.00,0.00,"2,000.00","980,000.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,8,2021-05-24,327.00,327.00,327.00,327.00,0.00,"2,244.00","1,117,132.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,9,2021-05-18,327.00,327.00,327.00,327.00,0.00,"1,100.00","537,900.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,10,2021-04-27,327.00,327.00,327.00,327.00,0.00,"11,256.00","6,611,868.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,11,2021-04-26,327.00,327.00,327.00,327.00,0.00,"3,150.00","1,532,205.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,12,2020-12-27,477.00,477.00,431.00,461.00,0.00,"2,632.00","1,227,392.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,13,2020-08-09,357.00,373.00,357.00,373.00,0.00,"81,294.00","29,037,958.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,14,2020-07-05,398.75,398.75,398.75,398.75,24.80,"21,061.00","8,398,074.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,15,2019-08-28,330.00,330.00,319.50,319.50,-8.71,"323,525.00","105,466,240.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,16,2017-12-19,0.00,350.00,350.00,350.00,0.00,"14,641.00","4,892,966.00"
rmdcpo,RMDC Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/rmdcpo,17,2017-09-25,0.00,0.00,0.00,0.00,0.00,"25,000.00","10,192,000.00"
