symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,1,2025-11-20,8.92,9.00,8.90,8.90,-2.20,"8,500.00","75,758.00"
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,2,2025-11-19,9.20,9.20,9.10,9.10,0.33,"10,200.00","92,840.00"
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,3,2025-11-18,8.91,9.07,8.90,9.07,0.00,"11,500.00","102,742.00"
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,4,2025-11-17,9.01,9.07,8.85,9.07,2.60,"1,551.00","13,922.51"
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,5,2025-11-16,8.86,8.87,8.84,8.84,-1.67,"14,387.00","127,262.08"
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,6,2025-11-13,9.08,9.08,8.99,8.99,0.90,"11,400.00","102,522.00"
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,7,2025-11-10,8.91,8.91,8.91,8.91,0.11,100.00,891.00
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,8,2025-11-09,9.04,9.07,8.90,8.90,-1.55,"64,306.00","573,791.40"
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,9,2025-11-06,9.03,9.04,9.03,9.04,-0.88,300.00,"2,710.00"
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,10,2025-11-04,9.07,9.20,9.07,9.12,0.22,"43,900.00","402,560.00"
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,11,2025-11-03,9.05,9.10,9.05,9.10,0.00,800.00,"7,271.00"
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,12,2025-11-02,9.05,9.10,9.05,9.10,0.66,"15,250.00","138,770.00"
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,13,2025-10-30,9.10,9.16,9.04,9.04,0.44,"14,287.00","130,132.48"
rmf2,RBB Mutual Fund 2,Mutual Fund,https://www.sharesansar.com/company/rmf2,14,2025-10-29,9.12,9.12,9.00,9.00,-1.32,"10,583.00","96,485.50"
