symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,1,2025-11-19,704.00,704.00,678.70,680.00,-1.59,"285,787.00","196,055,143.40"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,2,2025-11-18,692.70,692.70,680.00,691.00,1.74,"332,874.00","229,166,916.30"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,3,2025-11-17,672.00,685.00,669.00,679.20,1.83,"265,909.00","180,036,941.80"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,4,2025-11-16,670.00,672.00,666.00,667.00,0.00,"204,568.00","136,849,588.10"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,5,2025-11-13,670.00,672.70,664.50,667.00,0.42,"183,176.00","122,336,815.30"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,6,2025-11-12,680.00,680.00,664.20,664.20,-1.29,"209,356.00","140,138,197.30"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,7,2025-11-11,669.60,694.00,665.00,672.90,2.50,"530,965.00","355,871,037.80"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,8,2025-11-10,646.80,667.70,646.80,656.50,-0.53,"167,560.00","110,758,485.60"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,9,2025-11-09,660.00,664.90,656.00,660.00,-0.72,"127,890.00","84,199,643.90"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,10,2025-11-06,665.20,674.70,662.00,664.80,-0.48,"94,771.00","63,089,389.50"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,11,2025-11-05,650.00,668.00,650.00,668.00,1.66,"99,135.00","65,150,994.10"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,12,2025-11-04,651.70,675.00,651.70,657.10,-1.19,"133,962.00","88,560,523.60"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,13,2025-11-03,674.00,675.90,662.00,665.00,-1.06,"204,249.00","136,448,747.20"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,14,2025-11-02,688.00,688.00,670.00,672.10,-0.37,"240,028.00","162,557,412.50"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,15,2025-10-30,661.00,679.90,652.00,674.60,3.15,"306,719.00","206,020,094.50"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,16,2025-10-29,640.00,664.00,640.00,654.00,1.08,"274,901.00","180,694,923.60"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,17,2025-10-28,622.00,652.00,622.00,647.00,4.22,"128,291.00","82,086,732.20"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,18,2025-10-26,627.00,627.00,617.00,620.80,-0.91,"45,064.00","27,917,638.10"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,19,2025-10-19,619.90,628.00,615.00,626.50,1.89,"79,144.00","49,270,419.30"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,20,2025-10-16,615.00,616.60,606.00,614.90,0.80,"56,256.00","34,418,445.40"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,21,2025-10-15,607.00,612.00,605.10,610.00,-0.02,"66,140.00","40,246,828.70"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,22,2025-10-14,619.90,624.00,610.10,610.10,-1.44,"85,049.00","52,284,121.30"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,23,2025-10-13,604.00,627.00,603.10,619.00,1.14,"126,199.00","77,269,070.80"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,24,2025-10-12,624.90,629.00,610.00,612.00,-2.25,"147,744.00","90,991,713.60"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,25,2025-10-09,632.50,653.90,625.10,626.10,0.97,"111,187.00","70,768,176.90"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,26,2025-10-08,636.00,637.20,617.00,620.10,-2.50,"150,530.00","93,917,587.20"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,27,2025-10-07,657.00,659.00,635.00,636.00,-3.20,"112,221.00","72,250,683.40"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,28,2025-09-28,645.00,657.00,641.50,657.00,2.42,"57,715.00","37,438,453.20"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,29,2025-09-25,640.00,644.00,640.00,641.50,0.23,"54,572.00","35,015,765.90"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,30,2025-09-24,646.00,646.00,630.60,640.00,-0.94,"81,773.00","52,092,113.50"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,31,2025-09-23,640.50,649.00,622.00,646.10,2.88,"178,202.00","113,977,753.00"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,32,2025-09-21,580.00,631.70,580.00,628.03,6.45,"180,905.00","111,301,434.60"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,33,2025-09-18,608.50,608.50,582.20,590.00,-4.96,"33,471.00","19,648,727.10"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,34,2025-09-08,635.00,639.00,618.00,620.77,-1.78,"139,590.00","87,372,149.00"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,35,2025-09-07,635.00,638.10,631.20,632.01,-0.92,"74,267.00","47,146,263.40"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,36,2025-09-04,640.00,641.90,630.50,637.90,-0.35,"97,107.00","61,684,027.70"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,37,2025-09-03,641.10,648.00,639.00,640.15,-0.82,"82,500.00","52,942,477.10"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,38,2025-09-02,653.00,653.00,641.20,645.42,0.07,"61,258.00","39,472,976.90"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,39,2025-09-01,644.00,649.00,640.00,644.95,0.59,"67,677.00","43,552,083.40"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,40,2025-08-31,647.00,657.00,640.00,641.17,-1.27,"85,744.00","55,135,591.50"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,41,2025-08-28,661.00,669.00,648.10,649.43,-1.68,"114,053.00","74,990,776.10"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,42,2025-08-27,645.00,664.10,641.00,660.54,2.12,"90,993.00","59,506,426.90"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,43,2025-08-26,648.00,648.00,642.00,646.84,1.02,"58,870.00","37,941,206.50"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,44,2025-08-25,636.00,645.90,636.00,640.34,0.11,"127,151.00","81,551,565.50"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,45,2025-08-24,640.00,645.00,639.00,639.66,-0.08,"94,294.00","60,439,573.40"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,46,2025-08-21,636.30,644.90,636.30,640.17,-0.07,"79,986.00","51,216,513.70"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,47,2025-08-20,645.00,649.00,640.00,640.59,-1.00,"83,561.00","53,736,507.20"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,48,2025-08-19,645.00,653.80,640.00,647.03,0.69,"105,121.00","68,099,232.10"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,49,2025-08-18,632.00,645.00,629.20,642.58,1.00,"178,971.00","113,837,539.80"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,50,2025-08-17,641.82,650.50,635.10,636.19,-0.88,"165,803.00","106,410,100.80"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,51,2025-08-14,663.80,663.80,640.10,641.82,-2.44,"345,282.00","223,321,337.50"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,52,2025-08-13,668.90,673.00,656.60,657.84,-1.80,"242,459.00","160,652,909.10"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,53,2025-08-12,667.90,686.00,667.90,669.93,-1.67,"209,753.00","141,367,022.80"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,54,2025-08-11,689.60,697.00,680.00,681.30,0.76,"530,246.00","364,552,761.90"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,55,2025-08-07,670.30,678.00,669.90,676.16,1.11,"177,746.00","119,860,996.70"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,56,2025-08-06,682.30,682.30,665.10,668.76,-0.04,"170,404.00","114,315,740.50"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,57,2025-08-05,690.00,690.00,668.00,669.01,-1.16,"277,512.00","187,013,371.90"
sahas,Sahas Urja Limited,Hydropower,https://www.sharesansar.com/company/sahas,58,2025-08-04,682.00,682.00,665.20,676.86,1.13,"291,029.00","195,638,222.00"
