symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,1,2025-11-20,578.20,585.00,578.00,584.00,-0.85,"4,996.00","2,892,350.70"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,2,2025-11-19,585.00,593.60,577.50,589.00,0.86,"6,577.00","3,823,039.70"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,3,2025-11-18,580.00,600.00,577.50,584.00,0.69,"18,220.00","10,687,794.40"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,4,2025-11-17,572.50,583.00,572.50,580.00,-0.68,"4,038.00","2,336,105.70"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,5,2025-11-16,584.00,585.00,576.00,584.00,0.00,"6,819.00","3,967,120.60"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,6,2025-11-13,577.50,586.60,575.10,584.00,-0.82,"4,645.00","2,689,241.20"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,7,2025-11-12,600.40,610.00,578.20,588.80,-1.70,"11,306.00","6,690,942.90"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,8,2025-11-11,596.00,603.50,580.20,599.00,1.23,"4,913.00","2,909,248.30"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,9,2025-11-10,580.00,595.00,574.10,591.70,1.15,"4,300.00","2,509,595.50"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,10,2025-11-09,585.00,587.00,579.00,585.00,-0.73,"6,462.00","3,772,421.30"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,11,2025-11-06,604.00,604.00,570.30,589.30,-1.78,"22,648.00","13,277,869.50"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,12,2025-11-05,598.00,602.00,590.00,600.00,-0.76,"5,316.00","3,166,282.60"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,13,2025-11-04,608.00,608.00,593.10,604.60,-0.56,"2,920.00","1,741,714.00"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,14,2025-11-03,602.10,613.90,598.10,608.00,-0.08,"6,180.00","3,735,916.60"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,15,2025-11-02,595.00,612.00,590.10,608.50,2.44,"10,788.00","6,499,573.70"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,16,2025-10-30,590.00,596.00,590.00,594.00,0.68,"1,742.00","1,036,507.00"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,17,2025-10-29,595.30,600.00,583.00,590.00,-0.84,"5,310.00","3,136,885.40"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,18,2025-10-28,585.10,595.00,585.10,595.00,2.04,"1,851.00","1,098,423.40"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,19,2025-10-26,585.00,590.00,583.00,583.10,-0.66,529.00,"309,215.30"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,20,2025-10-19,602.00,602.00,580.00,587.00,-2.49,"2,781.00","1,628,213.00"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,21,2025-10-16,570.30,602.00,570.10,602.00,3.79,"2,739.00","1,577,381.40"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,22,2025-10-15,575.00,580.00,572.00,580.00,-0.51,"2,621.00","1,507,609.00"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,23,2025-10-14,585.30,585.30,573.30,583.00,-2.30,"2,089.00","1,208,481.20"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,24,2025-10-13,586.00,596.70,575.20,596.70,2.00,"4,424.00","2,571,425.30"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,25,2025-10-12,603.00,603.00,581.20,585.00,-2.99,"13,061.00","7,660,926.70"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,26,2025-10-09,623.00,624.00,600.00,603.00,-1.47,"11,332.00","6,883,027.00"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,27,2025-10-08,615.00,617.00,587.10,612.00,0.33,"14,063.00","8,512,964.90"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,28,2025-10-07,600.00,615.00,600.00,610.00,-0.25,"6,343.00","3,852,252.00"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,29,2025-09-28,620.40,622.00,610.00,611.50,-1.43,"3,745.00","2,291,551.60"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,30,2025-09-25,605.00,620.80,601.80,620.40,1.04,"6,640.00","4,065,848.00"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,31,2025-09-24,607.40,615.00,607.30,614.00,-0.65,"4,439.00","2,711,373.50"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,32,2025-09-23,595.00,618.00,590.00,618.00,3.74,"10,425.00","6,311,117.90"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,33,2025-09-21,615.00,615.00,584.20,595.73,-5.05,"23,182.00","13,776,028.80"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,34,2025-09-18,653.20,653.20,627.40,627.40,-5.87,40.00,"25,740.00"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,35,2025-09-08,669.60,682.00,666.00,666.53,-1.29,"4,409.00","2,952,185.90"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,36,2025-09-07,671.00,680.00,670.70,675.23,0.04,"1,389.00","937,741.70"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,37,2025-09-04,677.00,677.00,672.10,674.95,-0.24,"6,715.00","4,530,775.80"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,38,2025-09-03,694.00,694.00,676.20,676.55,-0.72,"1,346.00","918,739.00"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,39,2025-09-02,695.00,695.00,681.10,681.44,-1.56,"1,714.00","1,171,003.40"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,40,2025-09-01,683.00,695.90,676.00,692.21,0.76,"4,508.00","3,101,618.50"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,41,2025-08-31,699.00,712.00,677.50,686.96,-1.85,"6,556.00","4,525,121.30"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,42,2025-08-28,685.10,710.00,670.20,699.88,2.82,"22,950.00","15,923,633.10"
salico,Sagarmatha Lumbini Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/salico,43,2025-08-27,671.20,684.00,671.10,680.66,0.99,"4,531.00","3,078,175.50"
