symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,1,2025-11-18,"1,170.00","1,173.00","1,160.00","1,160.00",0.87,180.00,"209,690.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,2,2025-11-17,"1,150.00","1,150.00","1,150.00","1,150.00",-0.31,100.00,"115,000.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,3,2025-11-16,"1,153.60","1,153.60","1,153.60","1,153.60",2.00,25.00,"28,840.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,4,2025-11-13,"1,131.00","1,131.00","1,131.00","1,131.00",0.00,25.00,"28,275.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,5,2025-11-11,"1,131.00","1,131.00","1,131.00","1,131.00",-0.96,20.00,"22,620.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,6,2025-11-03,"1,142.00","1,142.00","1,142.00","1,142.00",0.62,100.00,"114,200.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,7,2025-11-02,"1,135.00","1,135.00","1,135.00","1,135.00",0.00,100.00,"113,500.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,8,2025-10-30,"1,120.00","1,135.00","1,120.00","1,135.00",0.89,200.00,"225,025.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,9,2025-10-28,"1,120.90","1,125.00","1,120.00","1,125.00",0.45,75.00,"84,148.40"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,10,2025-10-26,"1,120.00","1,120.00","1,120.00","1,120.00",-1.93,25.00,"28,000.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,11,2025-10-14,"1,142.00","1,142.00","1,142.00","1,142.00",1.96,197.00,"224,974.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,12,2025-10-08,"1,120.00","1,120.00","1,120.00","1,120.00",1.73,200.00,"224,000.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,13,2025-09-28,"1,089.90","1,101.00","1,089.90","1,101.00",1.33,100.00,"109,939.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,14,2025-09-24,"1,086.50","1,086.50","1,086.50","1,086.50",-1.23,50.00,"54,325.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,15,2025-09-21,"1,100.00","1,100.00","1,100.00","1,100.00",0.00,75.00,"82,500.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,16,2025-09-07,"1,100.00","1,100.00","1,100.00","1,100.00",1.69,50.00,"55,000.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,17,2025-09-03,"1,081.70","1,081.70","1,081.70","1,081.70",-1.66,25.00,"27,042.50"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,18,2025-08-20,"1,115.00","1,115.00","1,100.00","1,100.00",-3.24,180.00,"199,500.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,19,2025-07-24,"1,136.80","1,136.80","1,136.80","1,136.80",-2.00,10.00,"11,368.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,20,2025-07-23,"1,160.00","1,160.00","1,160.00","1,160.00",-2.00,10.00,"11,600.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,21,2025-07-16,"1,177.50","1,189.00","1,177.50","1,183.65",0.14,160.00,"189,385.50"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,22,2025-07-09,"1,176.00","1,176.90","1,176.00","1,182.00",0.42,45.00,"52,963.50"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,23,2025-06-30,"1,164.00","1,177.00","1,164.00","1,177.00",1.60,85.00,"99,495.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,24,2025-06-29,"1,139.00","1,158.50","1,139.00","1,158.50",2.98,100.00,"114,407.50"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,25,2025-06-25,"1,125.00","1,125.00","1,125.00","1,125.00",1.98,50.00,"56,250.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,26,2025-06-24,"1,103.20","1,103.20","1,103.20","1,103.20",-0.09,25.00,"27,580.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,27,2025-06-19,"1,104.20","1,104.20","1,104.20","1,104.20",0.02,22.00,"24,292.40"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,28,2025-06-16,"1,104.20","1,104.20","1,104.00","1,104.00",0.16,75.00,"82,807.50"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,29,2025-06-04,"1,102.20","1,102.20","1,102.20","1,102.20",-0.35,25.00,"27,555.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,30,2025-06-03,"1,106.10","1,106.10","1,106.10","1,106.10",0.34,20.00,"22,122.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,31,2025-06-02,"1,102.50","1,102.50","1,102.40","1,102.40",0.08,50.00,"55,122.50"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,32,2025-05-26,"1,101.50","1,101.50","1,101.50","1,101.50",-0.20,15.00,"16,522.50"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,33,2025-05-25,"1,103.70","1,103.70","1,103.70","1,103.70",0.14,25.00,"27,592.50"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,34,2025-05-21,"1,102.30","1,102.30","1,102.20","1,102.20",0.00,50.00,"55,112.50"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,35,2025-05-15,"1,102.20","1,102.20","1,102.20","1,102.20",-0.25,25.00,"27,555.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,36,2025-05-14,"1,105.10","1,105.10","1,105.00","1,105.00",0.50,40.00,"44,202.50"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,37,2025-05-08,"1,099.50","1,099.50","1,099.50","1,099.50",-0.18,25.00,"27,487.50"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,38,2025-05-07,"1,110.00","1,110.00","1,101.50","1,101.50",0.05,50.00,"55,287.50"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,39,2025-05-04,"1,101.00","1,101.00","1,101.00","1,101.00",-0.09,50.00,"55,050.00"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,40,2025-04-28,"1,107.68","1,107.68","1,102.00","1,102.00",-2.22,150.00,"165,413.60"
sand2085,10% Sanima Debenture 2085,Corporate Debentures,https://www.sharesansar.com/company/sand2085,41,2025-04-21,"1,127.00","1,128.00","1,127.00","1,127.00",1.90,75.00,"84,550.00"
