symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sanima,Sanima Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sanima,1,2025-11-19,303.60,303.60,295.00,302.00,0.97,"60,999.00","18,172,623.70"
sanima,Sanima Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sanima,2,2025-11-18,303.70,303.80,299.10,299.10,-0.30,"30,377.00","9,137,868.90"
sanima,Sanima Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sanima,3,2025-11-17,302.80,303.70,298.30,300.00,0.67,"45,012.00","13,533,499.50"
sanima,Sanima Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sanima,4,2025-11-16,300.00,307.00,297.40,298.00,-0.67,"60,146.00","17,969,144.40"
sanima,Sanima Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sanima,5,2025-11-13,303.90,306.90,298.00,300.00,-0.33,"116,111.00","34,811,998.80"
sanima,Sanima Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sanima,6,2025-11-12,311.00,311.00,298.00,301.00,-1.31,"122,250.00","36,698,899.60"
sanima,Sanima Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sanima,7,2025-11-11,310.00,310.00,302.50,305.00,0.20,"62,362.00","18,958,567.90"
sanima,Sanima Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sanima,8,2025-11-10,315.00,315.00,304.30,304.40,-1.49,"188,504.00","57,555,432.00"
sanima,Sanima Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sanima,9,2025-11-09,314.00,319.90,308.70,309.00,-2.22,"108,962.00","33,847,628.50"
sanima,Sanima Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sanima,10,2025-11-06,314.00,320.00,314.00,316.00,-0.03,"94,074.00","29,728,803.20"
sanima,Sanima Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sanima,11,2025-11-05,317.00,318.80,314.30,316.10,-0.28,"39,980.00","12,658,522.80"
