symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,1,2025-11-19,571.90,641.80,571.90,641.80,9.99,"107,443.00","66,831,005.40"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,2,2025-11-18,577.00,587.50,568.10,583.50,1.13,"10,074.00","5,870,211.00"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,3,2025-11-17,570.00,579.90,566.00,577.00,0.96,"11,080.00","6,350,352.80"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,4,2025-11-16,578.00,580.00,568.00,571.50,-1.47,"11,853.00","6,767,722.90"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,5,2025-11-13,574.30,590.00,572.00,580.00,0.00,"8,451.00","4,895,312.00"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,6,2025-11-12,582.00,590.00,580.00,580.00,-1.68,"10,479.00","6,112,549.00"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,7,2025-11-11,573.00,599.00,568.10,589.90,2.95,"18,696.00","10,961,230.60"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,8,2025-11-10,577.00,588.50,571.00,573.00,-0.69,"5,551.00","3,203,029.10"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,9,2025-11-09,589.00,589.00,576.00,577.00,-2.15,"10,456.00","6,071,121.00"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,10,2025-11-06,595.00,606.00,586.00,589.70,-1.06,"6,502.00","3,836,841.00"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,11,2025-11-05,585.00,600.00,585.00,596.00,0.24,"6,435.00","3,816,381.70"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,12,2025-11-04,608.00,620.00,591.10,594.60,-2.20,"8,077.00","4,865,696.70"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,13,2025-11-03,610.00,624.50,600.00,608.00,-1.46,"18,997.00","11,471,327.40"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,14,2025-11-02,601.00,618.90,601.00,617.00,2.32,"17,364.00","10,625,015.70"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,15,2025-10-30,585.00,612.00,580.20,603.00,2.20,"17,537.00","10,504,095.50"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,16,2025-10-29,593.00,610.00,578.70,590.00,-0.67,"20,975.00","12,514,505.50"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,17,2025-10-28,562.10,595.00,562.10,594.00,5.51,"12,290.00","7,155,257.80"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,18,2025-10-26,550.30,563.00,550.10,563.00,0.55,"4,004.00","2,222,543.70"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,19,2025-10-19,562.00,563.20,555.00,559.90,-0.59,"6,609.00","3,694,553.20"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,20,2025-10-16,572.00,573.00,561.00,563.20,-1.88,"5,651.00","3,192,867.00"
sanvi,Sanvi Energy Limited,Hydropower,https://www.sharesansar.com/company/sanvi,21,2025-10-15,580.00,590.00,560.10,574.00,-1.03,"6,141.00","3,490,240.50"
