symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,1,2025-11-19,815.00,840.00,810.10,825.00,-0.60,"33,226.00","27,359,581.20"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,2,2025-11-18,830.00,861.90,825.00,830.00,0.61,"73,084.00","61,970,400.60"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,3,2025-11-17,771.00,839.90,771.00,825.00,5.35,"87,906.00","72,491,685.60"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,4,2025-11-16,790.00,799.90,783.00,783.10,-1.12,"6,855.00","5,398,337.70"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,5,2025-11-13,794.00,805.00,790.00,792.00,0.13,"18,872.00","14,973,922.80"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,6,2025-11-12,775.00,810.00,775.00,791.00,0.52,"33,472.00","26,717,107.20"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,7,2025-11-11,803.00,803.00,783.00,786.90,-0.39,"21,018.00","16,614,931.20"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,8,2025-11-10,790.00,801.00,789.00,790.00,-0.89,"14,985.00","11,864,112.30"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,9,2025-11-09,812.80,813.00,795.10,797.10,-1.93,"33,102.00","26,575,848.70"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,10,2025-11-06,820.00,820.00,800.10,812.80,1.09,"14,327.00","11,576,981.70"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,11,2025-11-05,809.10,819.80,800.00,804.00,-0.62,"23,082.00","18,632,790.20"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,12,2025-11-04,807.00,829.90,807.00,809.00,-1.34,"23,645.00","19,295,391.60"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,13,2025-11-03,806.00,829.80,806.00,820.00,-0.12,"40,443.00","33,273,019.50"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,14,2025-11-02,803.00,832.00,803.00,821.00,0.24,"35,746.00","29,424,447.30"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,15,2025-10-30,807.50,824.00,800.00,819.00,-0.47,"54,274.00","44,308,632.30"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,16,2025-10-29,816.30,849.50,801.00,822.90,-1.20,"42,269.00","35,115,031.40"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,17,2025-10-28,796.90,835.00,789.00,832.90,5.44,"75,279.00","62,149,450.70"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,18,2025-10-26,775.00,790.00,761.20,789.90,0.00,"14,480.00","11,300,565.40"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,19,2025-10-19,805.00,805.00,781.10,789.90,-0.01,"8,138.00","6,429,543.50"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,20,2025-10-16,812.00,812.00,790.00,790.00,-2.34,"29,444.00","23,573,721.30"
sapdbl,Saptakoshi Development Bank Limited,Development Bank,https://www.sharesansar.com/company/sapdbl,21,2025-10-15,834.00,834.00,801.50,808.90,-1.32,"21,033.00","16,960,343.80"
