symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,1,2025-07-28,698.00,698.00,698.00,698.00,0.00,"2,526.00","1,763,148.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,2,2025-07-02,698.00,698.00,698.00,698.00,0.00,"40,000.00","5,600,000.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,3,2025-03-16,698.00,698.00,698.00,698.00,0.00,"10,560.00","7,370,880.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,4,2024-07-15,195.00,195.00,195.00,195.00,0.00,"4,110.00","801,450.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,5,2024-06-23,195.00,195.00,195.00,195.00,0.00,"5,793.00","1,129,635.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,6,2024-02-12,144.00,144.00,144.00,144.00,0.00,"23,000.00","3,312,000.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,7,2023-08-30,129.00,129.00,129.00,129.00,0.00,"27,787.00","3,584,523.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,8,2023-08-29,129.00,129.00,129.00,129.00,0.00,"95,007.00","12,255,903.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,9,2022-08-10,145.00,145.00,145.00,145.00,0.00,"91,700.00","13,296,500.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,10,2022-02-28,194.00,194.00,194.00,194.00,0.00,"10,658.00","2,067,652.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,11,2022-02-23,194.00,194.00,194.00,194.00,-2.02,"10,246.00","1,987,724.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,12,2021-10-24,198.00,198.00,198.00,198.00,0.00,"6,830.00","1,352,340.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,13,2021-08-11,207.00,207.00,207.00,207.00,0.00,"17,680.00","3,659,760.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,14,2021-08-01,207.00,207.00,207.00,207.00,0.00,"12,630.00","2,614,410.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,15,2021-07-27,207.00,207.00,207.00,207.00,0.00,"12,856.00","2,661,192.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,16,2021-06-28,207.00,207.00,207.00,207.00,0.00,"10,659.00","2,206,413.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,17,2021-05-02,104.00,104.00,104.00,104.00,0.00,"5,028.00","522,912.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,18,2021-02-21,104.00,104.00,104.00,104.00,0.00,"5,088.00","529,152.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,19,2021-02-14,104.00,104.00,104.00,104.00,1.96,"6,588.00","685,152.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,20,2020-12-29,102.00,102.00,102.00,102.00,0.00,"11,914.00","1,215,228.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,21,2020-12-15,102.00,102.00,102.00,102.00,0.00,"15,346.00","1,565,292.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,22,2020-12-13,102.00,102.00,102.00,102.00,0.00,"4,372.00","445,944.00"
sapdblp,Saptakoshi Development Bank Ltd Promoter Share,Promoter Share,https://www.sharesansar.com/company/sapdblp,23,2020-11-22,102.00,102.00,102.00,102.00,0.00,"26,406.00","2,693,412.00"
