symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sarbtm,Sarbottam Cement Limited,Manufacturing and Processing,https://www.sharesansar.com/company/sarbtm,1,2025-11-19,911.00,911.00,890.00,900.00,0.45,"51,474.00","46,443,511.20"
sarbtm,Sarbottam Cement Limited,Manufacturing and Processing,https://www.sharesansar.com/company/sarbtm,2,2025-11-18,900.00,916.00,895.00,896.00,-0.33,"19,884.00","17,941,298.80"
sarbtm,Sarbottam Cement Limited,Manufacturing and Processing,https://www.sharesansar.com/company/sarbtm,3,2025-11-17,894.00,900.00,880.00,899.00,1.70,"92,513.00","82,920,454.00"
sarbtm,Sarbottam Cement Limited,Manufacturing and Processing,https://www.sharesansar.com/company/sarbtm,4,2025-11-16,923.10,941.00,880.00,884.00,-2.32,"51,640.00","46,058,036.70"
sarbtm,Sarbottam Cement Limited,Manufacturing and Processing,https://www.sharesansar.com/company/sarbtm,5,2025-11-13,918.00,918.00,890.00,905.00,0.56,"19,648.00","17,712,756.00"
sarbtm,Sarbottam Cement Limited,Manufacturing and Processing,https://www.sharesansar.com/company/sarbtm,6,2025-11-12,870.20,903.00,865.00,900.00,3.45,"55,958.00","49,414,135.70"
sarbtm,Sarbottam Cement Limited,Manufacturing and Processing,https://www.sharesansar.com/company/sarbtm,7,2025-11-11,870.00,881.00,870.00,870.00,0.00,"9,156.00","8,012,478.00"
sarbtm,Sarbottam Cement Limited,Manufacturing and Processing,https://www.sharesansar.com/company/sarbtm,8,2025-11-10,879.00,880.00,867.00,870.00,-0.57,"4,693.00","4,082,605.40"
sarbtm,Sarbottam Cement Limited,Manufacturing and Processing,https://www.sharesansar.com/company/sarbtm,9,2025-11-09,885.00,886.00,870.20,875.00,-1.24,"14,889.00","13,079,000.10"
sarbtm,Sarbottam Cement Limited,Manufacturing and Processing,https://www.sharesansar.com/company/sarbtm,10,2025-11-06,875.00,900.00,875.00,886.00,0.68,"29,608.00","26,361,923.00"
sarbtm,Sarbottam Cement Limited,Manufacturing and Processing,https://www.sharesansar.com/company/sarbtm,11,2025-11-05,880.00,880.00,867.70,880.00,1.27,"7,166.00","6,263,282.40"
sarbtm,Sarbottam Cement Limited,Manufacturing and Processing,https://www.sharesansar.com/company/sarbtm,12,2025-11-04,885.00,891.00,869.00,869.00,-1.81,"19,973.00","17,529,851.70"
