symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,1,2025-11-20,9.00,9.08,8.95,9.08,1.34,"2,915.00","26,291.20"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,2,2025-11-19,8.97,9.00,8.96,8.96,-0.99,"5,000.00","44,844.00"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,3,2025-11-18,9.01,9.10,9.01,9.05,0.44,"12,675.00","114,747.50"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,4,2025-11-17,9.01,9.04,9.01,9.01,-0.99,"7,050.00","63,615.50"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,5,2025-11-16,9.07,9.10,9.00,9.10,0.22,"17,600.00","158,608.00"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,6,2025-11-13,8.85,9.13,8.85,9.08,1.34,"4,000.00","36,314.00"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,7,2025-11-12,8.86,9.04,8.86,8.96,-0.44,"7,210.00","64,696.40"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,8,2025-11-11,9.01,9.19,8.85,9.00,-0.11,"27,660.00","247,329.20"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,9,2025-11-10,9.00,9.01,9.00,9.01,-0.44,600.00,"5,404.00"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,10,2025-11-09,9.04,9.05,9.04,9.05,-1.63,"2,010.00","18,171.40"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,11,2025-11-06,9.10,9.25,9.07,9.20,1.10,"11,456.00","105,539.70"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,12,2025-11-05,9.23,9.30,9.01,9.10,0.55,"24,490.00","224,049.12"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,13,2025-11-04,9.19,9.19,9.05,9.05,-3.42,"3,665.00","33,203.25"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,14,2025-11-03,9.02,9.38,9.02,9.37,1.85,"21,560.00","201,937.00"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,15,2025-11-02,8.98,9.20,8.98,9.20,1.66,"5,050.00","45,906.00"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,16,2025-10-30,9.10,9.10,9.05,9.05,0.22,"33,500.00","304,226.00"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,17,2025-10-29,9.00,9.14,9.00,9.03,-0.33,"8,450.00","77,051.50"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,18,2025-10-28,8.89,9.06,8.89,9.06,0.00,"9,880.00","88,857.80"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,19,2025-10-26,9.10,9.10,9.02,9.06,-0.44,"16,000.00","145,564.00"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,20,2025-10-19,9.10,9.10,9.06,9.10,0.00,"5,920.00","53,846.92"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,21,2025-10-16,8.95,9.10,8.93,9.10,1.68,"31,550.00","285,820.50"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,22,2025-10-15,9.00,9.01,8.92,8.95,0.00,"7,850.00","70,464.50"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,23,2025-10-14,9.28,9.28,8.95,8.95,-1.65,"75,223.00","677,859.30"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,24,2025-10-13,8.87,9.10,8.87,9.10,1.11,"16,650.00","150,124.00"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,25,2025-10-12,8.89,9.00,8.87,9.00,-0.55,"14,700.00","132,094.00"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,26,2025-10-09,9.09,9.20,9.00,9.05,1.46,"36,393.00","329,554.65"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,27,2025-10-08,9.10,9.18,8.92,8.92,-1.22,"52,500.00","472,727.50"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,28,2025-10-07,9.01,9.16,9.00,9.03,-0.66,"13,700.00","124,552.50"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,29,2025-09-28,9.36,9.65,9.09,9.09,-0.98,"19,727.00","188,588.08"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,30,2025-09-25,9.30,9.37,9.02,9.18,-0.22,"56,310.00","513,159.45"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,31,2025-09-24,9.19,9.20,9.19,9.20,1.66,"2,160.00","19,852.00"
sbcf,Sunrise Bluechip Fund,Mutual Fund,https://www.sharesansar.com/company/sbcf,32,2025-09-23,9.01,9.10,9.01,9.05,-1.42,"11,400.00","103,486.00"
