symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,1,2025-11-19,"1,221.00","1,221.00","1,221.00","1,221.00",0.91,25.00,"30,525.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,2,2025-11-18,"1,210.00","1,210.00","1,210.00","1,210.00",-0.03,25.00,"30,250.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,3,2025-11-16,"1,186.70","1,210.40","1,186.70","1,210.40",4.03,100.00,"119,855.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,4,2025-11-06,"1,141.00","1,163.50","1,141.00","1,163.50",1.97,350.00,"401,010.60"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,5,2025-09-24,"1,141.00","1,141.00","1,141.00","1,141.00",-0.78,25.00,"28,525.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,6,2025-09-23,"1,149.00","1,150.00","1,149.00","1,150.00",1.31,100.00,"114,950.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,7,2025-09-08,"1,135.20","1,135.20","1,135.20","1,135.10",-0.01,30.00,"34,055.50"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,8,2025-09-07,"1,157.40","1,157.40","1,135.20","1,135.20",-3.88,50.00,"57,315.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,9,2025-08-07,"1,181.00","1,181.00","1,181.00","1,181.00",-1.99,15.00,"17,715.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,10,2025-07-30,"1,205.00","1,205.00","1,205.00","1,205.00",0.00,20.00,"24,100.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,11,2025-06-29,"1,155.00","1,205.00","1,155.00","1,205.00",4.33,28.00,"33,708.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,12,2025-06-23,"1,140.00","1,140.00","1,140.00","1,155.00",1.32,8.00,"9,240.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,13,2025-06-08,"1,140.00","1,140.00","1,140.00","1,140.00",-1.81,10.00,"11,400.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,14,2025-05-18,"1,161.00","1,161.00","1,161.00","1,161.00",-1.98,10.00,"11,610.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,15,2025-04-30,"1,184.40","1,184.40","1,184.40","1,184.40",0.00,10.00,"11,844.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,16,2025-04-07,"1,184.40","1,184.40","1,184.40","1,184.40",0.00,299.00,"354,135.60"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,17,2025-04-03,"1,161.20","1,161.20","1,161.20","1,184.40",2.00,12.00,"14,212.60"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,18,2025-04-01,"1,138.50","1,138.50","1,138.50","1,161.20",1.99,3.00,"3,483.60"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,19,2025-03-30,"1,117.00","1,117.00","1,117.00","1,138.50",1.65,26.00,"29,061.10"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,20,2025-03-26,"1,112.60","1,120.00","1,112.60","1,120.00",0.67,24.00,"26,865.20"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,21,2025-03-24,"1,113.90","1,113.90","1,113.90","1,112.60",-0.12,2.00,"2,225.20"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,22,2025-03-20,"1,113.60","1,113.60","1,113.60","1,113.90",0.03,2.00,"2,227.80"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,23,2025-03-19,"1,113.59","1,113.59","1,113.59","1,113.59",-0.22,1.00,"1,113.60"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,24,2025-03-18,"1,116.10","1,116.10","1,116.10","1,116.10",0.01,9.00,"1,064.40"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,25,2025-03-17,"1,116.00","1,116.00","1,116.00","1,116.00",0.09,18.00,"20,079.50"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,26,2025-03-12,"1,115.00","1,148.00","1,115.00","1,115.00",-2.87,9.00,"10,115.80"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,27,2025-02-23,"1,148.00","1,148.00","1,148.00","1,148.00",2.50,25.00,"28,694.40"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,28,2025-02-18,"1,120.00","1,120.00","1,120.00","1,120.00",-1.10,25.00,"28,000.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,29,2025-02-06,"1,132.40","1,132.40","1,132.40","1,132.40",-2.00,100.00,"113,240.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,30,2025-02-04,"1,155.50","1,155.50","1,155.50","1,155.50",-1.99,60.00,"69,330.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,31,2025-01-19,"1,179.00","1,179.00","1,179.00","1,179.00",-2.00,20.00,"23,580.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,32,2025-01-05,"1,203.00","1,203.00","1,203.00","1,203.00",0.03,5.00,"6,015.00"
sbd89,10.25% Sanima Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbd89,33,2024-12-23,"1,202.50","1,202.60","1,202.50","1,202.60",6.05,65.00,"77,817.50"
