symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sbibd86,10% Nepal SBI Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/sbibd86,1,2025-11-03,"1,180.00","1,180.00","1,180.00","1,180.00",1.03,89.00,"105,020.00"
sbibd86,10% Nepal SBI Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/sbibd86,2,2025-10-29,"1,168.00","1,168.00","1,168.00","1,168.00",-1.85,89.00,"103,952.00"
sbibd86,10% Nepal SBI Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/sbibd86,3,2025-10-15,"1,185.00","1,190.00","1,185.00","1,190.00",1.45,920.00,"1,094,730.00"
sbibd86,10% Nepal SBI Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/sbibd86,4,2025-09-25,"1,168.90","1,173.00","1,168.90","1,173.00",2.36,296.00,"347,044.00"
sbibd86,10% Nepal SBI Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/sbibd86,5,2025-09-21,"1,146.00","1,146.00","1,146.00","1,146.00",-1.97,100.00,"114,600.00"
sbibd86,10% Nepal SBI Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/sbibd86,6,2025-09-07,"1,152.00","1,169.00","1,152.00","1,169.00",2.90,701.00,"817,363.70"
sbibd86,10% Nepal SBI Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/sbibd86,7,2025-09-04,"1,136.00","1,136.00","1,136.00","1,136.00",0.00,50.00,"56,800.00"
sbibd86,10% Nepal SBI Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/sbibd86,8,2025-09-01,"1,114.18","1,136.00","1,114.18","1,136.00",3.99,470.00,"526,831.40"
sbibd86,10% Nepal SBI Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/sbibd86,9,2025-08-20,"1,071.00","1,071.00","1,071.00","1,092.40",4.04,11.00,"11,802.40"
sbibd86,10% Nepal SBI Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/sbibd86,10,2025-08-18,"1,080.10","1,080.10","1,050.00","1,050.00",-2.82,500.00,"533,012.50"
sbibd86,10% Nepal SBI Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/sbibd86,11,2025-08-17,"1,080.50","1,080.50","1,080.50","1,080.50",0.04,25.00,"27,012.50"
sbibd86,10% Nepal SBI Bank Debenture 2086,Corporate Debentures,https://www.sharesansar.com/company/sbibd86,12,2025-08-13,"1,080.10","1,080.10","1,080.10","1,080.10",-0.08,25.00,"27,002.50"
