symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,1,2025-11-18,"1,144.50","1,148.00","1,125.00","1,148.00",2.31,60.00,"68,270.00"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,2,2025-11-16,"1,140.00","1,145.00","1,122.10","1,122.10",-1.57,180.00,"204,447.00"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,3,2025-11-13,"1,120.00","1,140.00","1,120.00","1,140.00",2.70,95.00,"107,300.00"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,4,2025-11-11,"1,200.50","1,200.50","1,110.00","1,110.00",-9.39,310.00,"357,290.00"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,5,2025-11-09,"1,128.00","1,226.00","1,128.00","1,225.00",9.87,"44,500.00","54,531,337.50"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,6,2025-11-02,"1,115.00","1,115.00","1,115.00","1,115.00",0.00,"44,000.00","49,060,000.00"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,7,2025-10-19,"1,115.00","1,115.00","1,115.00","1,115.00",0.00,50.00,"55,750.00"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,8,2025-09-25,"1,114.90","1,115.00","1,114.90","1,115.00",1.36,40.00,"44,597.50"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,9,2025-09-24,"1,100.00","1,100.00","1,100.00","1,100.00",0.55,129.00,"141,900.00"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,10,2025-09-23,"1,073.00","1,094.00","1,065.00","1,094.00",-0.06,94.00,"102,042.80"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,11,2025-09-07,"1,094.70","1,094.70","1,094.70","1,094.70",1.99,29.00,"31,746.30"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,12,2025-09-02,"1,073.40","1,073.40","1,073.30","1,073.30",-1.98,25.00,"26,833.50"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,13,2025-09-01,"1,080.00","1,080.00","1,080.00","1,095.00",1.77,101.00,"109,095.00"
sbid83,10.25% Nepal SBI Bank Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/sbid83,14,2025-08-28,"1,095.00","1,095.00","1,076.00","1,076.00",-1.96,100.00,"108,675.00"
