symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,1,2025-11-19,322.50,327.90,321.30,322.70,-0.40,"16,598.00","5,385,967.90"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,2,2025-11-18,327.00,329.70,321.70,324.00,1.06,"66,042.00","21,469,259.80"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,3,2025-11-17,326.80,348.00,320.50,320.60,-1.51,"89,176.00","28,838,764.50"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,4,2025-11-16,326.90,333.00,322.00,325.50,-0.43,"22,393.00","7,292,231.60"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,5,2025-11-13,334.90,334.90,325.00,326.90,-0.58,"33,648.00","10,976,892.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,6,2025-11-12,332.00,335.00,324.40,328.80,-1.85,"91,138.00","30,021,328.10"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,7,2025-11-11,330.20,335.00,327.20,335.00,0.90,"92,679.00","30,583,500.00"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,8,2025-11-10,331.50,337.50,329.50,332.00,-0.90,"49,458.00","16,375,018.70"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,9,2025-11-09,339.00,339.00,331.50,335.00,-1.03,"54,931.00","18,312,473.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,10,2025-11-06,339.00,343.00,338.50,338.50,0.00,"92,480.00","31,460,791.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,11,2025-11-05,340.00,345.00,336.20,338.50,-0.44,"35,681.00","12,083,043.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,12,2025-11-04,345.00,346.00,339.20,340.00,-1.45,"255,671.00","87,220,526.10"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,13,2025-11-03,346.50,349.50,345.00,345.00,-1.29,"64,848.00","22,490,717.50"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,14,2025-11-02,370.00,370.00,359.00,367.00,0.91,"245,403.00","88,792,775.20"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,15,2025-10-30,358.00,364.00,357.00,363.70,0.19,"185,452.00","66,821,397.80"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,16,2025-10-29,356.20,366.00,356.20,363.00,0.53,"58,010.00","20,958,983.50"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,17,2025-10-28,348.00,366.00,344.20,361.10,2.88,"70,085.00","25,034,979.90"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,18,2025-10-26,352.00,352.00,344.50,351.00,-0.14,"23,638.00","8,259,825.30"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,19,2025-10-19,342.90,353.00,342.90,351.50,2.51,"32,320.00","11,280,695.00"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,20,2025-10-16,353.00,353.00,342.10,342.90,-1.07,"70,963.00","24,428,461.60"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,21,2025-10-15,342.10,352.00,342.10,346.60,0.09,"33,852.00","11,767,856.10"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,22,2025-10-14,352.00,360.00,346.10,346.30,-0.35,"32,806.00","11,424,245.10"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,23,2025-10-13,351.70,351.70,341.00,347.50,0.75,"64,922.00","22,380,672.60"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,24,2025-10-12,357.00,360.00,340.00,344.90,-3.52,"127,035.00","44,053,826.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,25,2025-10-09,358.40,374.00,356.30,357.50,1.27,"99,655.00","35,942,236.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,26,2025-10-08,350.00,364.00,348.00,353.00,-0.14,"141,815.00","49,757,258.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,27,2025-10-07,365.00,365.00,353.10,353.50,-1.81,"32,950.00","11,713,335.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,28,2025-09-28,360.00,363.10,357.30,360.00,1.12,"20,952.00","7,545,718.00"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,29,2025-09-25,356.00,358.00,352.00,356.00,-0.45,"18,084.00","6,404,485.50"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,30,2025-09-24,365.00,365.00,354.50,357.60,-1.22,"41,696.00","14,877,150.70"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,31,2025-09-23,366.00,366.00,358.00,362.00,0.27,"45,749.00","16,504,079.50"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,32,2025-09-21,356.80,371.00,350.10,361.04,-0.81,"145,988.00","52,793,046.10"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,33,2025-09-18,365.00,365.00,344.10,364.00,-2.22,"12,516.00","4,448,728.60"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,34,2025-09-08,372.00,377.90,367.80,372.25,-0.74,"132,615.00","49,199,950.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,35,2025-09-07,380.00,380.00,373.00,375.01,-0.74,"127,328.00","47,884,602.00"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,36,2025-09-04,389.00,389.00,373.70,377.82,-1.03,"92,399.00","34,825,700.20"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,37,2025-09-03,392.00,392.00,380.00,381.76,-1.92,"197,617.00","76,268,417.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,38,2025-09-02,396.50,398.80,385.40,389.22,0.12,"171,936.00","67,259,564.50"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,39,2025-09-01,383.00,390.80,373.00,388.77,3.28,"443,158.00","170,531,305.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,40,2025-08-31,379.00,380.00,372.00,376.42,0.04,"140,397.00","52,996,967.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,41,2025-08-28,378.00,380.00,369.40,376.27,1.29,"141,489.00","53,169,057.70"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,42,2025-08-27,369.30,375.00,362.00,371.47,2.59,"107,818.00","39,966,562.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,43,2025-08-26,364.90,365.00,360.00,362.10,0.25,"44,050.00","15,992,611.10"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,44,2025-08-25,360.10,361.80,356.60,361.19,-0.19,"84,939.00","30,417,572.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,45,2025-08-24,367.00,367.00,360.00,361.87,-0.71,"54,021.00","19,517,670.80"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,46,2025-08-21,366.00,366.00,363.10,364.44,0.29,"34,463.00","12,554,705.50"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,47,2025-08-20,360.00,367.80,360.00,363.40,-0.98,"45,497.00","16,575,409.20"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,48,2025-08-19,367.50,367.50,359.00,367.01,0.65,"52,439.00","19,124,196.30"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,49,2025-08-18,363.60,366.00,356.00,364.64,0.15,"163,673.00","59,122,242.80"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,50,2025-08-17,370.30,370.30,363.70,364.11,-1.38,"100,763.00","36,924,126.30"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,51,2025-08-14,378.10,378.10,368.00,369.19,-1.52,"179,427.00","66,516,344.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,52,2025-08-13,380.00,380.60,373.00,374.89,-0.39,"73,163.00","27,460,946.90"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,53,2025-08-12,372.90,383.00,372.90,376.35,-1.04,"109,978.00","41,399,660.50"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,54,2025-08-11,379.00,383.00,376.00,380.32,2.35,"259,072.00","98,085,152.80"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,55,2025-08-07,373.00,373.00,369.00,371.58,0.86,"68,492.00","25,429,183.60"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,56,2025-08-06,380.60,380.60,365.00,368.40,-1.33,"118,225.00","43,403,791.90"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,57,2025-08-05,367.70,381.00,367.70,373.37,-0.15,"72,672.00","27,313,385.10"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,58,2025-08-04,374.00,375.00,361.10,373.92,1.89,"108,246.00","39,817,666.00"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,59,2025-08-03,386.00,386.00,363.00,366.99,-3.36,"179,070.00","66,550,556.50"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,60,2025-07-31,390.00,390.00,377.10,379.74,-1.22,"278,021.00","106,449,193.10"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,61,2025-07-30,397.00,397.00,382.00,384.42,-2.00,"130,827.00","50,719,418.50"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,62,2025-07-29,397.40,397.40,386.40,392.25,0.66,"240,351.00","94,399,846.20"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,63,2025-07-28,380.10,391.00,380.10,389.66,0.60,"279,454.00","107,642,349.30"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,64,2025-07-27,392.50,392.50,385.00,387.32,-0.25,"177,687.00","68,936,455.20"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,65,2025-07-24,399.00,399.00,388.00,388.29,-1.28,"202,557.00","79,106,407.80"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,66,2025-07-23,386.00,401.00,386.00,393.32,-0.14,"221,199.00","86,636,579.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,67,2025-07-22,389.90,404.00,380.30,393.86,2.30,"444,337.00","174,023,241.70"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,68,2025-07-21,376.40,390.00,376.40,385.01,1.24,"276,819.00","106,512,641.80"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,69,2025-07-20,394.00,394.00,377.00,380.29,-1.79,"448,405.00","173,233,013.50"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,70,2025-07-17,391.30,408.00,383.20,387.23,0.90,"450,633.00","174,991,692.60"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,71,2025-07-16,379.50,403.00,375.00,383.77,2.58,"567,833.00","219,434,580.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,72,2025-07-15,356.00,377.00,356.00,374.10,4.58,"468,205.00","172,295,789.40"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,73,2025-07-14,373.00,373.00,357.10,357.73,-2.20,"261,406.00","94,211,346.10"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,74,2025-07-13,364.00,376.00,359.70,365.78,2.47,"504,481.00","184,298,028.80"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,75,2025-07-10,348.00,359.00,341.90,356.96,3.92,"471,463.00","166,392,446.60"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,76,2025-07-09,340.00,344.40,338.00,343.48,1.58,"249,257.00","84,849,430.30"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,77,2025-07-08,346.00,348.80,337.00,338.15,-1.13,"227,962.00","77,309,799.80"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,78,2025-07-07,341.00,347.00,336.50,342.00,0.63,"282,846.00","96,735,909.20"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,79,2025-07-06,337.00,343.00,335.10,339.85,0.53,"176,466.00","59,868,411.20"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,80,2025-07-03,339.00,341.20,333.00,338.06,-0.42,"269,922.00","91,381,540.10"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,81,2025-07-02,333.00,343.90,327.00,339.48,3.10,"293,021.00","97,898,195.80"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,82,2025-07-01,323.00,331.00,317.20,329.28,3.78,"164,346.00","53,411,137.30"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,83,2025-06-30,316.90,320.00,310.50,317.29,2.11,"127,421.00","40,211,987.90"
sbl,Siddhartha Bank Limited,Commercial Bank,https://www.sharesansar.com/company/sbl,84,2025-06-29,305.00,311.50,305.00,310.72,1.68,"82,774.00","25,509,367.40"
