symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,1,2025-11-19,"1,400.00","1,400.00","1,400.00","1,400.00",-1.75,25.00,"35,000.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,2,2025-11-16,"1,412.00","1,450.00","1,412.00","1,425.00",2.89,"200,974.00","289,073,293.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,3,2025-11-10,"1,350.00","1,385.00","1,240.00","1,385.00",0.59,"200,824.00","249,048,551.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,4,2025-11-05,"1,405.00","1,405.00","1,405.00","1,376.90",-2.00,1.00,"1,376.90"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,5,2025-10-30,"1,321.00","1,405.00","1,321.00","1,405.00",4.27,"138,551.00","193,992,417.40"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,6,2025-10-26,"1,249.00","1,347.50","1,205.00","1,347.50",10.00,"189,316.00","236,463,202.50"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,7,2025-10-19,"1,225.00","1,225.00","1,225.00","1,225.00",0.00,15.00,"18,375.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,8,2025-10-15,"1,225.00","1,225.00","1,225.00","1,225.00",0.00,25.00,"30,625.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,9,2025-10-08,"1,225.00","1,225.00","1,225.00","1,225.00",-1.61,25.00,"30,625.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,10,2025-08-04,"1,245.00","1,245.00","1,245.00","1,245.00",-1.97,25.00,"31,125.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,11,2025-07-09,"1,270.00","1,270.00","1,270.00","1,270.00",0.00,15.00,"19,050.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,12,2025-07-08,"1,270.00","1,270.00","1,270.00","1,270.00",-0.39,10.00,"12,700.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,13,2025-05-15,"1,275.00","1,275.00","1,275.00","1,275.00",-0.26,50.00,"63,750.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,14,2025-04-08,"1,260.00","1,278.30","1,260.00","1,278.30",1.99,35.00,"44,283.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,15,2025-04-07,"1,230.20","1,254.00","1,230.20","1,253.33",1.88,15.00,"18,800.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,16,2025-04-03,"1,230.20","1,230.20","1,230.20","1,230.20",0.00,25.00,"30,755.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,17,2025-04-02,"1,229.00","1,230.20","1,229.00","1,230.20",2.00,80.00,"98,403.90"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,18,2025-03-30,"1,206.00","1,206.00","1,206.00","1,206.13",1.94,30.00,"36,184.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,19,2025-03-25,"1,160.00","1,183.20","1,160.00","1,183.20",2.89,50.00,"58,580.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,20,2025-03-12,"1,150.00","1,150.00","1,150.00","1,150.00",0.30,25.00,"28,750.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,21,2025-03-10,"1,146.60","1,146.60","1,146.60","1,146.60",-2.00,30.00,"34,398.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,22,2025-03-06,"1,150.00","1,170.00","1,150.00","1,170.00",0.60,"10,025.00","11,728,750.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,23,2025-03-05,"1,163.00","1,163.00","1,163.00","1,163.00",-1.94,50.00,"58,150.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,24,2025-02-23,"1,186.00","1,186.00","1,186.00","1,186.00",-0.75,97.00,"115,042.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,25,2025-02-18,"1,195.00","1,195.00","1,195.00","1,195.00",0.42,50.00,"59,750.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,26,2025-02-12,"1,190.00","1,190.00","1,190.00","1,190.00",-1.65,25.00,"29,750.00"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,27,2025-02-10,"1,210.00","1,210.00","1,210.00","1,210.00",3.77,255.00,"308,508.60"
sbld89,10.75 % SBL Debenture 2089,Corporate Debentures,https://www.sharesansar.com/company/sbld89,28,2025-02-09,"1,166.00","1,166.00","1,166.00","1,166.00",0.43,20.00,"23,320.00"
