symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,1,2025-09-07,169.00,169.00,169.00,169.00,-1.74,"151,000.00","25,519,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,2,2025-08-18,172.00,172.00,172.00,172.00,0.00,"25,000.00","4,300,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,3,2025-07-17,172.00,172.00,172.00,172.00,-1.71,"25,000.00","4,300,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,4,2025-07-14,175.00,175.00,175.00,175.00,0.00,"41,570.00","7,274,750.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,5,2025-07-06,175.00,175.00,175.00,175.00,0.00,"134,000.00","23,450,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,6,2025-07-03,175.00,175.00,175.00,175.00,0.00,"15,000.00","2,625,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,7,2024-07-21,137.70,137.70,137.70,137.70,0.00,"60,307.00","8,304,273.90"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,8,2024-07-11,137.70,137.70,137.70,137.70,0.00,"99,324.00","13,676,914.80"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,9,2024-07-10,137.70,137.70,137.70,137.70,2.00,"350,676.00","48,288,085.20"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,10,2024-04-21,135.00,135.00,135.00,135.00,0.00,"43,168.00","5,827,680.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,11,2024-02-22,135.00,135.00,135.00,135.00,0.00,"100,000.00","13,500,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,12,2024-02-18,135.00,135.00,135.00,135.00,0.00,"100,000.00","13,500,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,13,2024-01-22,135.00,135.00,135.00,135.00,0.00,"250,000.00","33,750,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,14,2023-10-31,145.10,145.10,145.10,145.10,0.00,"100,000.00","14,510,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,15,2023-10-30,145.10,145.10,145.10,145.10,-1.96,"200,000.00","29,020,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,16,2023-08-21,148.00,148.00,148.00,148.00,-1.79,"150,000.00","22,200,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,17,2023-06-28,150.70,150.70,150.70,150.70,0.00,"10,000.00","1,507,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,18,2023-06-19,150.70,150.70,150.70,150.70,-1.95,"104,813.00","15,795,319.10"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,19,2023-06-11,153.70,153.70,153.70,153.70,-1.98,"75,000.00","11,527,500.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,20,2023-05-31,156.80,156.80,156.80,156.80,0.00,"14,353.00","2,250,550.40"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,21,2023-04-18,156.80,156.80,156.80,156.80,-2.00,"40,000.00","6,272,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,22,2023-03-19,160.00,160.00,160.00,160.00,0.00,"90,000.00","14,400,000.00"
sblpo,Siddhartha Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sblpo,23,2023-03-16,160.00,160.00,160.00,160.00,-0.99,"160,000.00","25,600,000.00"
