symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,1,2025-11-19,637.00,639.90,633.50,636.90,0.11,"11,815.00","7,520,648.70"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,2,2025-11-18,633.00,639.50,633.00,636.20,0.03,"10,579.00","6,738,699.00"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,3,2025-11-17,632.00,640.00,631.10,636.00,0.62,"13,316.00","8,471,061.30"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,4,2025-11-16,635.10,640.00,630.10,632.10,-0.77,"10,837.00","6,852,635.10"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,5,2025-11-13,635.00,639.10,635.00,637.00,-0.31,"10,261.00","6,528,189.20"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,6,2025-11-12,642.00,642.00,635.00,639.00,-0.31,"16,743.00","10,681,556.50"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,7,2025-11-11,645.00,645.00,637.00,641.00,0.19,"18,611.00","11,893,994.40"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,8,2025-11-10,641.00,641.00,635.10,639.80,0.60,"27,302.00","17,400,317.80"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,9,2025-11-09,644.00,644.00,634.50,636.00,-0.31,"29,856.00","18,997,594.10"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,10,2025-11-06,634.10,645.00,634.10,638.00,-0.59,"35,160.00","22,472,957.50"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,11,2025-11-05,635.00,643.00,635.00,641.80,0.75,"17,725.00","11,318,643.90"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,12,2025-11-04,637.50,644.00,635.20,637.00,-0.93,"15,878.00","10,125,077.80"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,13,2025-11-03,639.00,647.00,632.20,643.00,0.78,"23,579.00","15,028,797.90"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,14,2025-11-02,648.70,648.70,630.30,638.00,0.31,"15,940.00","10,130,724.30"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,15,2025-10-30,630.00,638.90,627.10,636.00,0.55,"26,451.00","16,758,459.70"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,16,2025-10-29,630.00,637.00,630.00,632.50,0.00,"19,531.00","12,349,050.60"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,17,2025-10-28,629.50,635.20,629.00,632.50,0.88,"19,279.00","12,202,492.40"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,18,2025-10-26,629.00,629.00,620.00,627.00,-0.32,"14,318.00","8,924,131.20"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,19,2025-10-19,615.00,635.50,614.00,629.00,2.61,"89,818.00","56,647,709.10"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,20,2025-10-16,625.00,625.00,603.00,613.00,-0.33,"24,469.00","14,917,474.30"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,21,2025-10-15,625.80,625.80,610.10,615.00,0.13,"15,650.00","9,649,328.00"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,22,2025-10-14,625.00,625.00,612.50,614.20,-0.18,"9,633.00","5,919,738.70"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,23,2025-10-13,629.30,629.30,610.00,615.30,-0.28,"20,047.00","12,350,887.00"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,24,2025-10-12,616.10,628.00,609.00,617.00,-1.33,"40,272.00","24,704,348.30"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,25,2025-10-09,632.40,647.00,625.30,625.30,0.85,"30,979.00","19,634,319.20"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,26,2025-10-08,620.00,623.00,610.00,620.00,-0.80,"19,576.00","12,039,779.90"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,27,2025-10-07,639.50,639.50,618.30,625.00,-0.79,"43,949.00","27,354,039.10"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,28,2025-09-28,636.00,636.00,626.00,630.00,0.95,"5,718.00","3,600,896.80"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,29,2025-09-25,628.50,633.00,620.00,624.10,-1.25,"28,886.00","18,052,677.60"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,30,2025-09-24,634.00,638.90,625.80,632.00,-0.32,"15,152.00","9,543,387.30"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,31,2025-09-23,629.50,635.00,620.10,634.00,2.54,"16,046.00","10,067,083.30"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,32,2025-09-21,594.90,627.00,594.90,618.27,1.86,"74,579.00","45,683,939.90"
scb,Standard Chartered Bank Nepal Limited,Commercial Bank,https://www.sharesansar.com/company/scb,33,2025-09-18,619.10,619.10,605.00,607.00,-3.91,"2,917.00","1,773,044.00"
