symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,1,2016-11-23,150.00,150.00,150.00,150.00,0.00,"50,000.00","7,500,000.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,2,2016-11-17,150.00,150.00,150.00,150.00,0.00,"294,000.00","44,100,000.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,3,2016-10-02,150.00,150.00,150.00,150.00,0.00,"11,322.00","1,698,300.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,4,2016-08-15,150.00,150.00,150.00,150.00,0.00,"99,634.00","14,945,100.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,5,2015-11-29,102.00,0.00,0.00,102.00,0.00,200.00,"15,402.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,6,2015-03-11,104.00,102.00,102.00,102.00,0.00,"50,000.00","5,100,000.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,7,2014-12-09,104.00,0.00,0.00,104.00,0.00,"120,250.00","7,876,375.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,8,2014-12-04,104.00,0.00,0.00,104.00,0.00,"69,100.00","4,526,050.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,9,2014-09-28,104.00,0.00,0.00,104.00,0.00,"100,000.00","7,200,000.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,10,2014-09-21,114.00,112.00,104.00,104.00,0.00,"100,000.00","10,420,000.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,11,2014-06-25,100.00,0.00,0.00,100.00,0.00,"229,670.00","12,645,328.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,12,2014-06-01,100.00,0.00,0.00,100.00,0.00,"250,000.00","15,388,750.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,13,2011-08-11,116.00,114.00,114.00,114.00,0.00,"17,000.00","1,938,000.00"
sdblpo,Siddhartha Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sdblpo,14,2011-08-09,118.00,116.00,116.00,116.00,0.00,"17,400.00","2,018,400.00"
