symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,1,2025-11-19,9.23,9.23,9.05,9.22,1.88,"16,064.00","146,800.72"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,2,2025-11-18,9.02,9.20,9.00,9.05,0.33,"67,167.00","606,639.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,3,2025-11-17,9.33,9.33,9.02,9.02,-1.42,"33,914.00","307,019.69"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,4,2025-11-16,9.31,9.31,9.13,9.15,0.22,"157,355.00","1,438,364.25"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,5,2025-11-13,9.43,9.43,9.13,9.13,-1.30,"4,158.00","38,482.54"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,6,2025-11-12,9.50,9.50,9.20,9.25,-0.75,"12,650.00","116,939.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,7,2025-11-11,9.23,9.40,9.23,9.32,2.98,"10,100.00","93,529.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,8,2025-11-10,9.40,9.44,9.05,9.05,-2.69,"26,578.00","241,995.40"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,9,2025-11-09,9.28,9.31,9.11,9.30,2.20,"2,200.00","20,277.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,10,2025-11-06,9.40,9.40,9.05,9.10,-1.41,"27,750.00","252,158.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,11,2025-11-05,9.23,9.35,9.13,9.23,1.99,"5,300.00","48,953.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,12,2025-11-04,9.39,9.39,9.05,9.05,-1.95,"59,284.00","539,323.25"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,13,2025-11-03,9.40,9.40,9.05,9.23,0.11,"92,809.00","863,782.32"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,14,2025-11-02,9.38,9.38,9.04,9.22,0.22,"5,120.00","47,100.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,15,2025-10-30,9.56,9.56,9.02,9.20,-1.92,"28,400.00","258,299.20"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,16,2025-10-29,9.58,9.58,9.28,9.38,-0.21,"16,000.00","149,720.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,17,2025-10-28,9.61,9.61,9.40,9.40,-0.32,"14,394.00","135,744.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,18,2025-10-26,9.64,9.64,9.28,9.43,-0.32,"3,400.00","31,989.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,19,2025-10-19,9.48,9.48,9.17,9.46,1.72,"10,067.00","92,923.75"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,20,2025-10-16,9.35,9.35,9.20,9.30,-0.21,"6,560.00","60,691.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,21,2025-10-15,9.51,9.70,9.16,9.32,-0.11,"17,300.00","159,543.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,22,2025-10-14,9.52,9.70,9.16,9.33,-0.21,"4,382.00","40,481.12"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,23,2025-10-13,9.48,9.48,9.20,9.35,0.54,"8,200.00","75,637.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,24,2025-10-12,9.18,9.30,9.07,9.30,3.33,"43,075.00","394,197.15"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,25,2025-10-09,9.35,9.35,9.00,9.00,-1.85,"33,775.00","310,032.75"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,26,2025-10-08,9.21,9.21,9.17,9.17,-1.50,"51,077.00","469,200.73"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,27,2025-10-07,9.50,9.50,9.31,9.31,-1.59,"49,038.00","456,625.80"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,28,2025-09-28,9.47,9.47,9.29,9.46,1.83,"1,200.00","11,345.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,29,2025-09-25,9.22,9.29,9.22,9.29,2.09,"20,152.00","185,812.08"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,30,2025-09-24,9.28,9.28,9.00,9.10,-1.94,"67,300.00","609,312.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,31,2025-09-23,9.18,9.36,9.00,9.28,3.11,"81,775.00","752,642.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,32,2025-09-21,9.15,9.15,8.97,9.00,-3.23,"97,845.00","882,889.35"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,33,2025-09-08,9.55,9.55,9.19,9.30,-1.06,"2,601.00","24,172.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,34,2025-09-07,9.40,9.40,9.34,9.40,1.95,"16,300.00","152,482.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,35,2025-09-04,9.07,9.35,9.07,9.22,-0.32,"135,742.00","1,263,554.26"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,36,2025-09-03,9.25,9.43,9.05,9.25,1.98,"108,900.00","997,963.60"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,37,2025-09-02,9.13,9.30,9.07,9.07,-1.41,"21,340.00","194,897.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,38,2025-09-01,9.27,9.34,9.10,9.20,-0.76,"71,100.00","658,778.18"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,39,2025-08-31,9.10,9.27,9.10,9.27,1.76,"6,000.00","55,535.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,40,2025-08-28,9.39,9.39,9.10,9.11,-1.09,"51,265.00","471,073.02"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,41,2025-08-27,9.26,9.27,9.10,9.21,-0.43,"128,500.00","1,182,335.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,42,2025-08-26,9.07,9.43,9.07,9.25,2.10,"9,590.00","89,383.10"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,43,2025-08-25,9.01,9.15,9.00,9.06,-1.31,"62,242.00","562,967.52"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,44,2025-08-24,9.60,9.60,9.06,9.18,-3.16,"34,484.00","316,972.28"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,45,2025-08-21,11.42,11.50,11.35,11.48,0.70,"2,250,455.00","25,755,404.33"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,46,2025-08-20,11.15,11.46,11.15,11.40,0.26,"347,417.00","3,963,948.60"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,47,2025-08-19,11.45,11.49,11.28,11.37,0.26,"182,255.00","2,075,119.42"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,48,2025-08-18,11.32,11.43,11.21,11.34,0.44,"114,798.00","1,297,781.14"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,49,2025-08-17,11.48,11.48,11.24,11.29,0.27,"442,755.00","5,003,952.88"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,50,2025-08-14,11.21,11.45,11.21,11.26,0.27,"142,831.00","1,619,444.87"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,51,2025-08-13,11.35,11.50,11.00,11.23,0.90,"361,560.00","4,054,032.31"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,52,2025-08-12,11.33,11.34,11.12,11.13,0.09,"606,317.00","6,819,521.73"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,53,2025-08-11,10.92,11.20,10.80,11.12,3.63,"727,223.00","8,096,355.99"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,54,2025-08-07,10.41,10.76,10.41,10.73,1.51,"16,750.00","178,012.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,55,2025-08-06,10.40,10.60,10.40,10.57,0.19,"87,248.00","917,121.20"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,56,2025-08-05,10.65,10.65,10.50,10.55,-1.31,"26,330.00","278,885.40"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,57,2025-08-04,10.54,10.69,10.54,10.69,0.38,"6,200.00","66,175.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,58,2025-08-03,10.80,10.87,10.65,10.65,-1.21,"68,300.00","733,343.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,59,2025-07-31,10.88,10.90,10.70,10.78,-0.92,"81,143.00","880,382.41"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,60,2025-07-30,10.95,11.00,10.71,10.88,0.46,"248,100.00","2,714,526.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,61,2025-07-29,10.68,10.95,10.68,10.83,0.74,"95,500.00","1,030,138.45"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,62,2025-07-28,10.57,10.78,10.56,10.75,0.00,"226,251.00","2,426,488.75"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,63,2025-07-27,10.71,10.87,10.71,10.75,0.84,"176,160.00","1,903,895.20"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,64,2025-07-24,10.45,10.68,10.43,10.66,0.38,"44,440.00","472,513.20"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,65,2025-07-23,10.45,10.65,10.45,10.62,-0.38,"65,900.00","699,419.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,66,2025-07-22,10.46,10.73,10.46,10.66,0.47,"104,914.00","1,116,779.75"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,67,2025-07-21,10.60,10.78,10.60,10.61,0.09,"250,246.00","2,665,838.88"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,68,2025-07-20,10.42,10.65,10.28,10.60,1.73,"122,200.00","1,292,496.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,69,2025-07-17,10.40,10.45,10.37,10.42,1.26,"63,650.00","662,048.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,70,2025-07-16,10.34,10.54,10.00,10.29,-0.58,"456,085.00","4,649,751.90"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,71,2025-07-15,10.27,10.35,10.27,10.35,0.78,"11,600.00","119,420.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,72,2025-07-14,10.21,10.41,10.21,10.27,-0.77,"62,269.00","641,208.29"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,73,2025-07-13,10.00,10.35,10.00,10.35,1.57,"104,500.00","1,070,960.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,74,2025-07-10,10.07,10.25,10.07,10.19,0.39,"23,300.00","237,498.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,75,2025-07-09,10.04,10.15,10.04,10.15,0.00,"6,125.00","61,893.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,76,2025-07-08,10.10,10.15,10.05,10.15,0.50,"47,600.00","479,870.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,77,2025-07-07,10.05,10.17,10.05,10.10,-0.59,"12,796.00","129,721.40"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,78,2025-07-06,9.95,10.19,9.95,10.16,0.49,"47,060.00","476,212.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,79,2025-07-03,10.14,10.21,10.01,10.11,0.10,"64,000.00","651,489.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,80,2025-07-02,10.10,10.10,10.10,10.10,0.00,273.00,"2,757.30"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,81,2025-07-01,10.10,10.14,10.10,10.10,0.30,"24,500.00","247,945.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,82,2025-06-30,10.00,10.10,10.00,10.07,0.60,"65,750.00","661,518.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,83,2025-06-29,10.00,10.01,9.95,10.01,-0.89,"3,270.00","32,646.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,84,2025-06-26,9.91,10.10,9.91,10.10,0.60,"4,000.00","39,865.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,85,2025-06-25,9.88,10.04,9.88,10.04,1.41,"146,168.00","1,461,441.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,86,2025-06-24,9.86,9.90,9.85,9.90,1.96,"19,800.00","195,205.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,87,2025-06-23,10.10,10.10,9.71,9.71,-2.22,"193,680.00","1,899,849.26"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,88,2025-06-22,9.92,9.93,9.91,9.93,-0.70,"70,700.00","702,048.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,89,2025-06-19,9.92,10.00,9.92,10.00,-0.20,"13,600.00","135,820.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,90,2025-06-18,9.90,10.03,9.90,10.02,0.91,"36,400.00","364,521.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,91,2025-06-17,10.00,10.05,9.91,9.93,-0.70,"19,714.00","197,268.02"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,92,2025-06-16,9.98,10.05,9.88,10.00,0.70,"41,415.00","415,163.20"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,93,2025-06-15,9.85,9.99,9.84,9.93,-0.70,"54,100.00","537,997.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,94,2025-06-12,10.00,10.10,9.92,10.00,0.00,"22,300.00","222,588.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,95,2025-06-11,9.87,10.10,9.87,10.00,-0.40,"111,550.00","1,116,218.98"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,96,2025-06-10,9.60,10.09,9.60,10.04,2.55,"44,446.00","446,184.35"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,97,2025-06-09,9.73,9.92,9.73,9.79,-1.11,"6,690.00","65,518.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,98,2025-06-08,9.88,9.91,9.88,9.90,-1.49,"2,850.00","28,172.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,99,2025-06-05,9.82,10.10,9.82,10.05,0.50,"7,300.00","73,185.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,100,2025-06-04,10.10,10.10,9.81,10.00,0.30,"41,000.00","408,091.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,101,2025-06-03,10.10,10.10,9.96,9.97,-0.99,"11,400.00","113,563.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,102,2025-06-02,9.74,10.09,9.74,10.07,1.61,"49,544.00","497,922.78"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,103,2025-05-28,10.00,10.02,9.85,9.91,0.81,"24,788.00","246,799.64"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,104,2025-05-27,9.72,10.02,9.72,9.83,-0.30,"72,200.00","720,298.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,105,2025-05-26,9.87,9.97,9.85,9.86,0.10,"53,310.00","525,728.70"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,106,2025-05-25,9.75,9.88,9.75,9.85,-0.10,"91,200.00","898,000.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,107,2025-05-22,9.74,9.90,9.74,9.86,0.10,"38,218.00","376,597.20"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,108,2025-05-21,9.75,9.94,9.75,9.85,0.51,"49,800.00","490,599.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,109,2025-05-20,9.80,9.80,9.80,9.80,0.00,"3,500.00","34,300.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,110,2025-05-19,9.76,9.80,9.76,9.80,-0.51,"32,000.00","313,410.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,111,2025-05-18,9.70,9.85,9.66,9.85,1.55,"5,910.00","57,519.60"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,112,2025-05-15,9.89,9.89,9.60,9.70,0.00,"19,400.00","188,234.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,113,2025-05-14,9.55,9.76,9.55,9.70,0.00,"5,278.00","50,939.28"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,114,2025-05-13,9.72,9.92,9.70,9.70,0.00,"406,400.00","3,943,509.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,115,2025-05-11,9.66,9.70,9.66,9.70,-1.42,"8,500.00","82,410.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,116,2025-05-08,9.77,9.84,9.77,9.84,-1.01,"14,900.00","145,866.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,117,2025-05-07,9.75,9.94,9.75,9.94,1.12,"7,499.00","73,396.06"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,118,2025-05-06,9.80,9.90,9.77,9.83,-0.51,"15,495.00","152,174.15"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,119,2025-05-05,9.96,9.96,9.81,9.88,-1.10,"28,100.00","279,142.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,120,2025-05-04,9.95,9.99,9.95,9.99,0.30,"95,000.00","946,500.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,121,2025-04-30,10.08,10.08,9.91,9.96,-0.70,"40,200.00","401,905.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,122,2025-04-29,9.77,10.03,9.77,10.03,1.31,"102,098.00","1,020,684.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,123,2025-04-28,9.67,9.90,9.67,9.90,0.41,"32,100.00","312,109.80"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,124,2025-04-27,9.81,9.97,9.80,9.86,-0.60,"54,500.00","542,590.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,125,2025-04-24,9.84,9.92,9.78,9.92,0.00,"28,100.00","275,674.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,126,2025-04-23,9.90,10.04,9.90,9.92,0.40,"58,434.00","583,720.70"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,127,2025-04-22,10.08,10.08,9.88,9.88,-0.70,"32,100.00","320,969.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,128,2025-04-21,9.91,10.03,9.91,9.95,0.51,"80,100.00","795,603.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,129,2025-04-20,9.87,9.95,9.86,9.90,0.10,"55,600.00","550,466.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,130,2025-04-17,9.88,10.00,9.88,9.89,-0.20,"20,150.00","200,283.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,131,2025-04-16,9.87,9.91,9.87,9.91,0.00,"1,600.00","15,815.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,132,2025-04-15,9.88,10.00,9.88,9.91,-1.29,"10,100.00","100,144.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,133,2025-04-13,9.71,10.04,9.71,10.04,1.41,"36,500.00","363,907.50"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,134,2025-04-10,9.93,9.95,9.90,9.90,-0.50,"146,580.00","1,454,201.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,135,2025-04-09,9.81,10.00,9.81,9.95,1.43,"65,075.00","649,625.02"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,136,2025-04-08,9.74,9.93,9.74,9.81,-0.61,"8,200.00","80,242.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,137,2025-04-07,9.87,9.87,9.87,9.87,-0.80,"5,000.00","49,350.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,138,2025-04-02,10.08,10.08,9.80,9.95,0.51,"5,300.00","52,094.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,139,2025-04-01,10.00,10.00,9.81,9.90,0.20,"4,300.00","42,450.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,140,2025-03-30,9.71,9.91,9.71,9.88,-0.20,"28,700.00","284,006.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,141,2025-03-27,10.00,10.09,9.75,9.90,0.81,"147,500.00","1,463,714.00"
sef,Siddhartha Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sef,142,2025-03-26,9.70,9.82,9.70,9.82,2.19,"40,100.00","391,725.00"
