symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,1,2025-11-19,396.10,400.00,392.10,392.10,-1.08,"8,670.00","3,426,161.00"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,2,2025-11-18,400.00,404.00,391.00,396.40,-0.40,"18,768.00","7,404,082.00"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,3,2025-11-17,395.00,401.90,390.00,398.00,0.76,"11,021.00","4,357,308.20"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,4,2025-11-16,400.00,400.00,391.00,395.00,-1.20,"6,797.00","2,681,963.40"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,5,2025-11-13,395.10,403.80,395.00,399.80,0.20,"8,468.00","3,360,894.30"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,6,2025-11-12,405.00,405.00,397.40,399.00,-0.99,"8,030.00","3,216,921.70"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,7,2025-11-11,400.00,409.90,400.00,403.00,-0.42,"17,838.00","7,144,087.90"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,8,2025-11-10,407.00,410.00,395.80,404.70,0.67,"11,241.00","4,512,138.80"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,9,2025-11-09,418.50,422.00,402.00,402.00,-4.74,"22,224.00","9,052,757.60"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,10,2025-11-06,425.00,435.00,422.00,422.00,-1.17,"20,196.00","8,628,874.60"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,11,2025-11-05,422.00,427.00,407.20,427.00,2.89,"22,476.00","9,362,367.80"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,12,2025-11-04,434.00,435.00,412.00,415.00,-2.74,"17,462.00","7,334,356.60"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,13,2025-11-03,415.00,445.00,413.00,426.70,3.32,"47,831.00","20,488,288.70"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,14,2025-11-02,387.00,416.10,387.00,413.00,4.66,"31,732.00","12,926,095.50"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,15,2025-10-30,384.00,398.00,377.00,394.60,1.21,"30,933.00","11,938,271.40"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,16,2025-10-29,394.00,397.80,385.00,389.90,-0.03,"22,524.00","8,802,443.80"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,17,2025-10-28,385.90,395.10,384.00,390.00,1.83,"21,873.00","8,491,557.10"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,18,2025-10-26,387.80,387.80,377.00,383.00,0.08,"5,014.00","1,903,293.30"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,19,2025-10-19,383.50,385.00,376.00,382.70,1.78,"7,494.00","2,858,496.50"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,20,2025-10-16,390.00,390.00,373.10,376.00,-2.21,"13,943.00","5,273,524.40"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,21,2025-10-15,390.00,392.90,383.00,384.50,-2.90,"18,553.00","7,170,983.90"
sfcl,Samriddhi Finance Company Limited (former World Merchant Banking),Finance,https://www.sharesansar.com/company/sfcl,22,2025-10-14,413.90,413.90,396.00,396.00,-2.89,"9,326.00","3,727,400.90"
