symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,1,2025-11-20,9.00,9.15,9.00,9.15,0.55,"1,060.00","9,674.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,2,2025-11-19,9.10,9.10,9.10,9.10,-0.44,"9,040.00","82,264.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,3,2025-11-18,9.03,9.14,9.00,9.14,1.33,"1,500.00","13,657.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,4,2025-11-17,9.00,9.18,9.00,9.02,0.22,"1,300.00","11,797.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,5,2025-11-16,9.02,9.02,9.00,9.00,-0.66,"5,000.00","45,060.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,6,2025-11-13,9.05,9.06,9.05,9.06,0.00,"1,400.00","12,682.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,7,2025-11-12,9.20,9.20,9.05,9.06,0.44,"23,165.00","210,571.52"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,8,2025-11-11,9.36,9.36,9.02,9.02,-1.74,500.00,"4,612.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,9,2025-11-10,9.01,9.18,9.01,9.18,0.55,"5,100.00","46,801.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,10,2025-11-09,9.13,9.31,9.13,9.13,0.00,"11,328.00","103,509.59"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,11,2025-11-06,9.13,9.13,9.13,9.13,-0.98,100.00,913.00
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,12,2025-11-05,9.06,9.22,9.06,9.22,0.77,"15,500.00","142,811.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,13,2025-11-04,9.00,9.15,9.00,9.15,0.22,"10,200.00","91,828.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,14,2025-11-03,8.93,9.18,8.93,9.13,1.44,"1,700.00","15,536.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,15,2025-11-02,9.00,9.18,9.00,9.00,0.00,"1,600.00","14,598.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,16,2025-10-30,9.00,9.00,9.00,9.00,-1.10,345.00,"3,105.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,17,2025-10-29,9.22,9.22,9.10,9.10,0.66,"4,950.00","45,579.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,18,2025-10-28,9.18,9.18,9.04,9.04,0.33,"1,100.00","10,084.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,19,2025-10-26,9.01,9.01,9.01,9.01,-0.88,300.00,"2,703.00"
sfef,Sunrise Focused Equity Fund,Mutual Fund,https://www.sharesansar.com/company/sfef,20,2025-10-19,9.25,9.25,9.08,9.09,0.22,"12,645.00","114,979.80"
