symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,1,2025-11-19,390.30,405.00,382.30,405.00,3.85,"119,306.00","47,254,289.60"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,2,2025-11-18,390.00,400.00,380.00,390.00,0.26,"29,017.00","11,296,561.60"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,3,2025-11-17,373.00,406.00,365.20,389.00,2.37,"96,929.00","36,936,965.60"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,4,2025-11-16,373.60,395.00,372.00,380.00,3.74,"76,944.00","29,422,151.90"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,5,2025-11-13,333.00,366.30,333.00,366.30,10.00,"59,422.00","21,105,902.00"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,6,2025-11-12,323.50,335.00,323.00,333.00,3.38,"10,805.00","3,566,229.80"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,7,2025-11-11,331.00,331.00,319.00,322.10,-0.89,"2,189.00","715,515.10"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,8,2025-11-10,320.00,333.00,315.00,325.00,3.21,"8,436.00","2,725,899.80"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,9,2025-11-09,325.00,330.00,312.80,314.90,-2.69,"4,271.00","1,352,920.00"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,10,2025-11-06,323.40,336.00,323.40,323.60,-1.91,"5,814.00","1,890,978.70"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,11,2025-11-05,326.00,330.00,321.00,329.90,-0.18,"5,852.00","1,908,692.40"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,12,2025-11-04,335.00,337.00,330.10,330.50,-3.22,"6,899.00","2,289,666.80"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,13,2025-11-03,345.20,352.00,330.00,341.50,-1.07,"6,932.00","2,326,154.00"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,14,2025-11-02,334.00,364.00,334.00,345.20,1.29,"18,998.00","6,648,171.40"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,15,2025-10-30,330.00,342.70,318.80,340.80,4.80,"12,425.00","4,125,406.80"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,16,2025-10-29,321.00,334.80,317.00,325.20,0.99,"8,684.00","2,816,682.90"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,17,2025-10-28,303.10,329.00,303.10,322.00,4.38,"11,664.00","3,673,646.20"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,18,2025-10-26,297.00,308.50,296.00,308.50,2.22,"2,539.00","761,304.80"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,19,2025-10-19,304.50,304.50,300.00,301.80,0.63,"1,645.00","494,126.00"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,20,2025-10-16,297.00,317.90,297.00,299.90,-0.37,"8,100.00","2,437,349.50"
sghc,Swet-Ganga Hydropower & Construction Limited,Hydropower,https://www.sharesansar.com/company/sghc,21,2025-10-15,298.10,306.00,298.10,301.00,0.00,"6,604.00","1,987,711.70"
