symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,1,2025-11-20,451.60,456.00,451.00,451.50,-1.01,"11,864.00","5,366,498.40"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,2,2025-11-19,460.00,465.00,451.20,456.10,-1.26,"8,386.00","3,823,558.90"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,3,2025-11-18,457.10,465.90,457.10,461.90,1.07,"6,986.00","3,212,681.20"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,4,2025-11-17,454.00,457.00,453.50,457.00,0.88,"13,555.00","6,163,799.90"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,5,2025-11-16,453.00,460.90,453.00,453.00,-1.74,"8,854.00","4,038,315.90"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,6,2025-11-13,459.00,468.70,459.00,461.00,-0.22,"6,176.00","2,853,104.50"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,7,2025-11-12,467.00,467.00,461.00,462.00,-1.07,"5,216.00","2,416,675.30"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,8,2025-11-11,469.00,469.00,460.00,467.00,0.65,"10,248.00","4,722,295.30"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,9,2025-11-10,461.00,470.10,460.00,464.00,-0.64,"11,207.00","5,182,042.50"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,10,2025-11-09,471.00,472.90,462.00,467.00,-0.62,"13,725.00","6,403,170.60"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,11,2025-11-06,466.00,479.90,466.00,469.90,-0.55,"14,752.00","6,963,423.70"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,12,2025-11-05,468.10,472.50,460.10,472.50,0.94,"7,435.00","3,483,442.20"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,13,2025-11-04,478.00,485.00,468.00,468.10,-3.86,"20,250.00","9,635,015.90"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,14,2025-11-03,489.00,494.00,481.10,486.90,-0.20,"21,456.00","10,455,366.80"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,15,2025-11-02,471.00,489.60,471.00,487.90,3.08,"19,930.00","9,645,158.20"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,16,2025-10-30,460.00,488.00,460.00,473.30,1.81,"17,945.00","8,463,868.00"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,17,2025-10-29,461.00,472.00,453.00,464.90,-0.45,"15,722.00","7,306,895.40"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,18,2025-10-28,460.60,470.00,454.00,467.00,3.32,"13,463.00","6,239,967.80"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,19,2025-10-26,445.00,452.40,439.00,452.00,1.12,"7,638.00","3,392,830.70"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,20,2025-10-19,455.30,455.30,441.10,447.00,-1.82,"27,613.00","12,417,315.00"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,21,2025-10-16,463.00,463.40,455.00,455.30,-1.92,"16,752.00","7,658,967.20"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,22,2025-10-15,469.00,469.00,464.20,464.20,-1.11,"7,780.00","3,629,423.70"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,23,2025-10-14,465.10,470.00,464.00,469.40,-0.15,"4,285.00","1,995,259.90"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,24,2025-10-13,460.50,473.90,455.40,470.10,0.06,"10,814.00","5,046,509.30"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,25,2025-10-12,478.00,478.20,460.30,469.80,-3.13,"34,992.00","16,364,064.70"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,26,2025-10-09,491.10,510.00,482.00,485.00,0.73,"17,154.00","8,446,782.40"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,27,2025-10-08,490.00,493.90,470.00,481.50,-2.71,"36,742.00","17,460,526.70"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,28,2025-10-07,501.50,506.00,490.00,494.90,-3.13,"34,312.00","16,981,270.70"
sgic,Sanima GIC Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/sgic,29,2025-09-28,502.60,514.00,502.50,510.90,0.79,"13,033.00","6,590,348.10"
