symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,1,2025-05-20,323.00,323.00,323.00,323.00,0.00,"37,922.00","9,480,500.00"
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,2,2025-05-15,323.00,323.00,323.00,323.00,0.00,"320,573.00","80,143,250.00"
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,3,2025-05-11,323.00,323.00,323.00,323.00,0.00,"36,429.00","9,107,250.00"
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,4,2025-05-04,323.00,323.00,323.00,323.00,0.00,"7,286.00","2,353,378.00"
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,5,2025-04-29,323.00,323.00,323.00,323.00,0.00,"43,714.00","14,119,622.00"
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,6,2025-04-23,323.00,323.00,323.00,323.00,0.00,100.00,"32,300.00"
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,7,2025-03-23,100.00,100.00,100.00,100.00,0.00,"7,286.00","1,821,500.00"
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,8,2025-03-20,100.00,100.00,100.00,100.00,0.00,"7,286.00","1,821,500.00"
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,9,2025-03-03,250.00,250.00,250.00,250.00,0.00,"72,857.00","18,214,250.00"
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,10,2025-02-06,250.00,250.00,250.00,250.00,0.00,"18,250.00","4,562,500.00"
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,11,2025-02-05,250.00,250.00,250.00,250.00,0.00,"72,857.00","18,214,250.00"
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,12,2025-01-28,250.00,250.00,250.00,250.00,0.00,"7,300.00","1,825,000.00"
sgicp,Sanima GIC Insurance Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/sgicp,13,2025-01-27,250.00,250.00,250.00,250.00,0.00,"66,430.00","16,607,500.00"
