symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,1,2025-11-19,"1,780.00","1,780.00","1,700.00","1,729.00",-1.09,"1,387.00","2,372,963.70"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,2,2025-11-18,"1,755.00","1,769.70","1,720.00","1,748.00",0.75,"1,950.00","3,391,553.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,3,2025-11-17,"1,740.00","1,753.00","1,720.00","1,735.00",-2.25,"1,643.00","2,850,762.20"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,4,2025-11-16,"1,785.00","1,806.00","1,750.00","1,774.90",-2.48,"3,435.00","6,052,906.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,5,2025-11-13,"1,850.00","1,850.00","1,800.00","1,820.00",0.33,473.00,"858,083.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,6,2025-11-12,"1,881.80","1,881.80","1,814.00","1,814.00",-1.68,95.00,"173,318.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,7,2025-11-11,"1,835.00","1,845.00","1,797.40","1,845.00",-1.34,335.00,"610,672.50"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,8,2025-11-10,"1,876.80","1,952.00","1,820.00","1,870.00",1.63,"1,211.00","2,293,833.40"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,9,2025-11-09,"1,899.00","1,899.00","1,807.00","1,840.00",-1.53,399.00,"729,929.30"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,10,2025-11-06,"1,855.20","1,887.00","1,832.00","1,868.60",0.72,410.00,"757,240.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,11,2025-11-05,"1,930.00","1,930.00","1,827.10","1,855.20",-2.20,70.00,"130,853.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,12,2025-11-04,"1,863.00","1,897.00","1,855.10","1,897.00",1.81,825.00,"1,541,956.70"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,13,2025-11-03,"1,961.00","1,961.00","1,850.00","1,863.30",-3.21,"1,440.00","2,707,470.20"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,14,2025-11-02,"1,900.00","1,925.00","1,890.00","1,925.00",1.85,599.00,"1,147,447.50"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,15,2025-10-30,"1,838.00","1,899.00","1,800.00","1,890.00",3.28,"1,264.00","2,349,510.30"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,16,2025-10-29,"1,815.00","1,846.00","1,815.00","1,830.00",-1.08,554.00,"1,013,696.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,17,2025-10-28,"1,802.00","1,869.00","1,802.00","1,850.00",2.66,569.00,"1,043,532.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,18,2025-10-26,"1,760.00","1,802.00","1,725.40","1,802.00",0.68,872.00,"1,532,883.90"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,19,2025-10-19,"1,760.10","1,789.90","1,760.00","1,789.90",-0.22,586.00,"1,031,729.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,20,2025-10-16,"1,781.00","1,793.90","1,763.00","1,793.90",-0.06,290.00,"513,387.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,21,2025-10-15,"1,791.00","1,794.90","1,760.10","1,794.90",-1.60,325.00,"580,904.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,22,2025-10-14,"1,760.90","1,824.00","1,730.00","1,824.00",1.90,196.00,"345,861.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,23,2025-10-13,"1,735.20","1,800.00","1,735.20","1,790.00",1.13,573.00,"1,020,208.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,24,2025-10-12,"1,792.00","1,827.00","1,761.50","1,770.00",-3.17,552.00,"976,883.50"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,25,2025-10-09,"1,836.00","1,900.00","1,800.00","1,828.00",1.56,260.00,"474,947.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,26,2025-10-08,"1,840.00","1,840.00","1,766.00","1,800.00",-3.64,770.00,"1,386,681.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,27,2025-10-07,"1,937.00","1,937.00","1,826.10","1,868.00",-3.56,361.00,"670,630.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,28,2025-09-28,"1,920.60","1,937.00","1,900.00","1,937.00",-0.87,600.00,"1,147,523.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,29,2025-09-25,"1,900.00","1,954.00","1,879.00","1,954.00",1.93,354.00,"668,400.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,30,2025-09-24,"1,945.00","1,945.00","1,857.00","1,917.00",-0.78,538.00,"1,015,959.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,31,2025-09-23,"1,826.00","1,932.00","1,826.00","1,932.00",5.83,572.00,"1,079,852.50"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,32,2025-09-21,"1,710.10","1,829.00","1,710.10","1,825.49",4.61,"1,596.00","2,830,208.90"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,33,2025-09-18,"1,780.00","1,780.00","1,745.00","1,745.00",-3.93,40.00,"70,200.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,34,2025-09-08,"1,853.00","1,853.00","1,816.20","1,816.30",-0.05,885.00,"1,616,729.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,35,2025-09-07,"1,790.00","1,832.00","1,781.10","1,817.28",1.14,130.00,"235,642.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,36,2025-09-04,"1,830.00","1,850.00","1,795.00","1,796.79",-1.20,763.00,"1,380,512.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,37,2025-09-03,"1,800.00","1,847.00","1,800.00","1,818.53",-0.94,375.00,"682,861.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,38,2025-09-02,"1,820.40","1,841.00","1,820.40","1,835.83",-1.14,400.00,"735,144.50"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,39,2025-09-01,"1,831.00","1,877.00","1,831.00","1,857.03",0.56,361.00,"671,949.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,40,2025-08-31,"1,873.00","1,910.00","1,843.00","1,846.67",-2.32,"1,415.00","2,624,547.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,41,2025-08-28,"1,918.00","1,937.00","1,885.60","1,890.61",-1.43,"1,056.00","2,003,542.90"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,42,2025-08-27,"1,891.00","1,935.00","1,891.00","1,918.06",0.37,389.00,"746,103.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,43,2025-08-26,"1,985.00","1,985.00","1,911.00","1,911.00",-1.93,"1,199.00","2,298,202.00"
shlb,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/shlb,44,2025-08-25,"1,970.10","1,970.10","1,935.00","1,948.54",0.88,736.00,"1,428,694.00"
