symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,1,2025-11-20,619.00,630.00,619.00,622.00,-1.11,"5,751.00","3,587,616.90"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,2,2025-11-19,630.10,630.10,620.10,629.00,-0.11,"5,238.00","3,270,035.70"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,3,2025-11-18,636.40,644.00,624.00,629.70,0.91,"5,783.00","3,630,117.50"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,4,2025-11-17,620.00,630.00,617.00,624.00,0.00,"12,931.00","8,078,030.40"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,5,2025-11-16,622.00,641.00,616.00,624.00,-0.72,"11,440.00","7,156,829.70"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,6,2025-11-13,634.00,635.00,621.00,628.50,-0.55,"5,806.00","3,620,033.90"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,7,2025-11-12,620.20,632.20,620.10,632.00,0.64,"5,477.00","3,433,688.90"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,8,2025-11-11,620.00,631.00,618.00,628.00,0.32,"3,229.00","2,009,371.20"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,9,2025-11-10,630.00,636.00,624.00,626.00,0.16,"3,582.00","2,251,015.10"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,10,2025-11-09,627.20,630.00,617.50,625.00,-0.79,"3,668.00","2,282,743.70"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,11,2025-11-06,630.00,640.00,628.00,630.00,0.00,"3,648.00","2,299,542.00"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,12,2025-11-05,642.90,642.90,618.80,630.00,-0.16,"2,778.00","1,734,386.20"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,13,2025-11-04,640.00,640.00,630.00,631.00,-1.41,"5,960.00","3,777,327.20"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,14,2025-11-03,648.00,648.00,637.00,640.00,0.16,"5,833.00","3,729,346.00"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,15,2025-11-02,643.00,643.00,633.00,639.00,1.11,"9,819.00","6,271,618.60"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,16,2025-10-30,615.00,633.00,611.20,632.00,1.59,"8,051.00","5,058,555.80"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,17,2025-10-29,629.00,637.00,620.00,622.10,-0.78,"3,985.00","2,498,529.80"
sicl,Shikhar Insurance Company Limited,Non-Life Insurance,https://www.sharesansar.com/company/sicl,18,2025-10-28,612.00,629.80,612.00,627.00,2.79,"4,737.00","2,934,705.90"
