symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,1,2025-09-25,286.00,286.00,286.00,286.00,0.00,"6,000.00","1,716,000.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,2,2025-05-05,232.50,232.50,232.50,232.50,1.97,10.00,"2,325.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,3,2024-05-09,228.00,228.00,228.00,228.00,0.00,"23,065.00","5,258,820.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,4,2023-05-21,172.00,172.00,172.00,172.00,0.00,"3,933.00","676,476.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,5,2023-01-25,193.00,193.00,193.00,193.00,0.00,"3,000.00","579,000.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,6,2020-10-15,120.00,120.00,120.00,120.00,0.00,"21,692.00","2,603,040.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,7,2020-10-14,120.00,120.00,120.00,120.00,0.00,"4,209.00","505,080.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,8,2019-12-08,120.00,120.00,120.00,120.00,0.00,"64,498.00","7,739,760.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,9,2019-12-03,120.00,120.00,120.00,120.00,0.00,"19,210.00","2,305,200.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,10,2019-11-28,120.00,120.00,120.00,120.00,0.00,"18,232.00","2,187,840.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,11,2019-11-25,120.00,120.00,120.00,120.00,0.00,"11,064.00","1,327,680.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,12,2018-06-17,120.00,120.00,120.00,120.00,0.00,"44,433.00","5,331,960.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,13,2013-07-15,195.00,195.00,195.00,195.00,0.00,"5,326.00","1,038,570.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,14,2012-10-02,195.00,195.00,195.00,195.00,0.00,"2,000.00","390,000.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,15,2011-10-17,195.00,195.00,195.00,195.00,0.00,"5,208.00","1,015,560.00"
sifcpo,Shree Investment & Finance Company Limited Promoter share,Promoter Share,https://www.sharesansar.com/company/sifcpo,16,2011-07-12,0.00,195.00,195.00,195.00,0.00,"11,360.00","2,215,200.00"
