symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sigs2,Siddhartha Investment Growth Scheme-2,Mutual Fund,https://www.sharesansar.com/company/sigs2,1,2025-11-19,9.38,9.38,9.00,9.00,-2.17,"68,810.00","627,186.00"
sigs2,Siddhartha Investment Growth Scheme-2,Mutual Fund,https://www.sharesansar.com/company/sigs2,2,2025-11-18,9.20,9.20,9.20,9.20,2.00,"11,400.00","104,880.00"
sigs2,Siddhartha Investment Growth Scheme-2,Mutual Fund,https://www.sharesansar.com/company/sigs2,3,2025-11-17,9.06,9.07,9.02,9.02,-1.96,"7,400.00","66,902.00"
sigs2,Siddhartha Investment Growth Scheme-2,Mutual Fund,https://www.sharesansar.com/company/sigs2,4,2025-11-16,9.03,9.20,9.02,9.20,0.00,"12,220.00","110,341.40"
sigs2,Siddhartha Investment Growth Scheme-2,Mutual Fund,https://www.sharesansar.com/company/sigs2,5,2025-11-12,9.20,9.20,9.20,9.20,-1.29,"7,400.00","68,080.00"
sigs2,Siddhartha Investment Growth Scheme-2,Mutual Fund,https://www.sharesansar.com/company/sigs2,6,2025-11-11,9.16,9.32,9.16,9.32,0.22,"10,700.00","99,516.00"
sigs2,Siddhartha Investment Growth Scheme-2,Mutual Fund,https://www.sharesansar.com/company/sigs2,7,2025-11-10,9.35,9.35,9.30,9.30,0.54,"2,000.00","18,610.00"
sigs2,Siddhartha Investment Growth Scheme-2,Mutual Fund,https://www.sharesansar.com/company/sigs2,8,2025-11-09,9.30,9.45,9.25,9.25,-2.12,"6,200.00","57,440.00"
sigs2,Siddhartha Investment Growth Scheme-2,Mutual Fund,https://www.sharesansar.com/company/sigs2,9,2025-11-06,9.10,9.45,9.10,9.45,2.49,"19,750.00","184,935.00"
sigs2,Siddhartha Investment Growth Scheme-2,Mutual Fund,https://www.sharesansar.com/company/sigs2,10,2025-11-04,9.22,9.22,9.22,9.22,-1.60,100.00,922.00
sigs2,Siddhartha Investment Growth Scheme-2,Mutual Fund,https://www.sharesansar.com/company/sigs2,11,2025-11-03,9.30,9.37,9.30,9.37,1.96,"9,000.00","83,980.00"
sigs2,Siddhartha Investment Growth Scheme-2,Mutual Fund,https://www.sharesansar.com/company/sigs2,12,2025-11-02,9.19,9.19,9.19,9.19,0.00,"4,800.00","44,112.00"
