symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sindu,Sindhu Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/sindu,1,2025-11-19,700.00,722.00,695.00,698.00,-1.55,"12,601.00","8,832,874.80"
sindu,Sindhu Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/sindu,2,2025-11-18,720.00,723.00,695.80,709.00,0.00,"25,879.00","18,278,055.00"
sindu,Sindhu Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/sindu,3,2025-11-17,675.10,718.00,675.10,709.00,3.67,"20,746.00","14,601,835.10"
sindu,Sindhu Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/sindu,4,2025-11-16,688.00,692.10,679.00,683.90,-1.04,"4,256.00","2,902,761.40"
sindu,Sindhu Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/sindu,5,2025-11-13,708.90,708.90,690.00,691.10,-0.78,"5,957.00","4,127,698.70"
sindu,Sindhu Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/sindu,6,2025-11-12,690.00,703.00,690.00,696.50,0.22,"11,082.00","7,727,291.00"
sindu,Sindhu Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/sindu,7,2025-11-11,696.00,705.00,690.00,695.00,-0.14,"9,966.00","6,916,471.60"
sindu,Sindhu Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/sindu,8,2025-11-10,690.00,705.30,690.00,696.00,-0.71,"8,605.00","6,009,407.80"
sindu,Sindhu Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/sindu,9,2025-11-09,705.00,710.00,700.00,701.00,-1.94,"9,312.00","6,557,351.10"
sindu,Sindhu Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/sindu,10,2025-11-06,700.00,718.00,700.00,714.90,0.69,"8,482.00","6,044,646.30"
sindu,Sindhu Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/sindu,11,2025-11-05,714.90,715.00,701.00,710.00,0.14,"9,583.00","6,789,945.70"
sindu,Sindhu Bikas Bank Limited,Development Bank,https://www.sharesansar.com/company/sindu,12,2025-11-04,712.00,725.00,706.00,709.00,-1.53,"13,171.00","9,413,925.60"
