symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
skbblp,Sana Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/skbblp,1,2025-04-07,100.00,100.00,100.00,100.00,0.00,"20,000.00","6,074,302.00"
skbblp,Sana Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/skbblp,2,2024-09-05,361.00,361.00,330.00,330.00,0.00,"30,000.00","10,022,000.00"
skbblp,Sana Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/skbblp,3,2024-07-08,330.00,330.00,330.00,330.00,0.00,238.00,"78,540.00"
skbblp,Sana Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/skbblp,4,2024-07-07,330.00,334.00,330.00,330.00,0.00,"9,400.00","3,110,000.00"
skbblp,Sana Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/skbblp,5,2024-07-04,351.00,351.00,330.00,330.00,0.00,"201,838.00","67,407,035.00"
skbblp,Sana Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/skbblp,6,2024-07-03,340.00,340.00,330.00,330.00,-5.98,"30,000.00","9,922,000.00"
skbblp,Sana Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/skbblp,7,2024-02-21,348.00,357.00,348.00,351.00,0.86,"36,560.00","12,799,880.00"
skbblp,Sana Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/skbblp,8,2024-02-20,353.00,353.00,348.00,348.00,0.00,"356,097.00","124,018,956.00"
skbblp,Sana Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/skbblp,9,2024-01-11,100.00,100.00,100.00,100.00,0.00,192.00,"19,200.00"
skbblp,Sana Kisan Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/skbblp,10,2023-10-04,501.75,501.75,495.00,495.00,0.00,"2,000.00","996,750.00"
