symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,1,2025-11-19,"1,296.00","1,307.00","1,285.00","1,302.00",0.53,"1,932.00","2,511,703.90"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,2,2025-11-18,"1,271.10","1,322.00","1,271.10","1,295.10",-0.15,"2,693.00","3,509,490.90"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,3,2025-11-17,"1,300.00","1,313.00","1,285.00","1,297.00",-0.15,"2,268.00","2,931,519.20"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,4,2025-11-16,"1,265.50","1,315.00","1,265.50","1,299.00",0.78,977.00,"1,266,360.10"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,5,2025-11-13,"1,275.00","1,299.70","1,273.00","1,288.90",0.53,"1,751.00","2,247,237.30"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,6,2025-11-12,"1,294.10","1,300.00","1,280.10","1,282.10",-1.16,"2,858.00","3,693,403.90"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,7,2025-11-11,"1,302.00","1,309.00","1,291.00","1,297.10",-1.51,"2,486.00","3,228,552.20"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,8,2025-11-10,"1,300.00","1,333.70","1,300.00","1,317.00",-0.53,"2,151.00","2,815,041.40"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,9,2025-11-09,"1,312.00","1,338.00","1,300.00","1,324.00",-1.05,"1,425.00","1,868,026.20"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,10,2025-11-06,"1,296.60","1,340.00","1,296.60","1,338.00",1.13,"4,908.00","6,484,251.50"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,11,2025-11-05,"1,395.30","1,395.30","1,295.00","1,323.00",-3.29,"5,907.00","7,772,308.00"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,12,2025-11-04,"1,370.00","1,392.00","1,321.00","1,368.00",-2.08,"2,383.00","3,232,363.30"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,13,2025-11-03,"1,478.00","1,478.00","1,357.30","1,397.00",-7.37,"17,885.00","24,651,731.50"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,14,2025-11-02,"1,350.00","1,508.10","1,350.00","1,508.10",10.00,"26,759.00","36,806,412.80"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,15,2025-10-30,"1,332.00","1,386.10","1,315.00","1,371.00",0.88,"7,384.00","9,946,678.10"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,16,2025-10-29,"1,389.00","1,389.00","1,335.30","1,359.00",-1.88,"2,595.00","3,509,760.10"
slbsl,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/slbsl,17,2025-10-28,"1,364.90","1,385.00","1,341.70","1,385.00",2.67,"7,612.00","10,388,706.10"
