symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,1,2025-11-19,9.08,9.10,8.95,9.00,-1.32,"48,400.00","437,486.00"
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,2,2025-11-18,9.20,9.20,9.10,9.12,0.22,"1,250.00","11,421.00"
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,3,2025-11-17,9.00,9.10,9.00,9.10,1.22,"5,110.00","46,415.40"
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,4,2025-11-16,9.00,9.15,8.86,8.99,-1.21,"121,150.00","1,076,544.10"
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,5,2025-11-13,9.14,9.14,8.99,9.10,-0.66,"27,894.00","252,481.76"
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,6,2025-11-12,9.10,9.16,9.10,9.16,0.00,"1,150.00","10,520.00"
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,7,2025-11-11,9.28,9.28,9.10,9.16,0.66,"18,330.00","168,612.60"
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,8,2025-11-10,9.20,9.20,9.10,9.10,-2.99,"26,700.00","245,620.00"
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,9,2025-11-09,9.15,9.38,9.00,9.38,2.51,"16,030.00","148,825.30"
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,10,2025-11-06,9.10,9.38,9.10,9.15,-1.08,"29,300.00","271,892.70"
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,11,2025-11-05,9.07,9.36,9.07,9.25,1.09,"5,500.00","50,778.60"
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,12,2025-11-04,9.04,9.36,9.04,9.15,1.10,"5,100.00","46,840.00"
slcf,Sanima Large Cap Fund,Mutual Fund,https://www.sharesansar.com/company/slcf,13,2025-11-03,9.07,9.07,9.05,9.05,-0.55,"6,300.00","57,120.00"
