symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,1,2025-11-11,441.00,441.00,441.00,441.00,0.00,"10,000.00","4,410,000.00"
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,2,2025-08-17,593.00,593.00,593.00,593.00,0.00,"1,000.00","593,000.00"
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,3,2025-06-02,443.00,443.00,443.00,443.00,-1.99,"5,790.00","2,564,970.00"
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,4,2025-04-13,452.00,452.00,452.00,452.00,0.00,"1,000.00","452,000.00"
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,5,2024-11-20,495.00,495.00,495.00,495.00,0.00,"20,000.00","9,900,000.00"
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,6,2024-10-16,495.00,495.00,495.00,495.00,0.00,"20,000.00","9,900,000.00"
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,7,2024-09-29,495.00,495.00,495.00,495.00,0.00,"14,919.00","7,384,905.00"
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,8,2024-09-22,495.00,495.00,495.00,495.00,0.00,"50,000.00","24,750,000.00"
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,9,2024-01-23,366.00,366.00,366.00,366.00,0.00,"45,069.00","16,495,254.00"
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,10,2023-10-03,332.00,332.00,332.00,332.00,0.00,"10,000.00","3,320,000.00"
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,11,2022-07-04,466.00,466.00,466.00,466.00,0.00,"17,000.00","7,922,000.00"
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,12,2022-06-23,466.00,466.00,466.00,466.00,0.00,"12,305.00","5,734,130.00"
smatap,Samata Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smatap,13,2022-06-21,466.00,466.00,466.00,466.00,0.00,"46,013.00","21,442,058.00"
