symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,1,2025-11-19,"2,140.00","2,145.00","2,100.00","2,139.00",0.00,700.00,"1,481,956.40"
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,2,2025-11-18,"2,150.00","2,150.00","2,120.00","2,139.00",0.42,215.00,"458,465.00"
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,3,2025-11-17,"2,092.00","2,140.00","2,092.00","2,130.00",1.43,692.00,"1,465,350.00"
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,4,2025-11-16,"2,135.00","2,136.00","2,094.00","2,100.00",0.24,493.00,"1,048,167.00"
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,5,2025-11-13,"2,109.00","2,110.00","2,095.00","2,095.00",0.00,360.00,"758,173.80"
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,6,2025-11-12,"2,091.00","2,125.00","2,091.00","2,095.00",-1.64,378.00,"796,295.60"
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,7,2025-11-11,"2,085.00","2,137.00","2,085.00","2,130.00",0.47,542.00,"1,150,472.50"
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,8,2025-11-10,"2,100.10","2,121.00","2,100.10","2,120.00",-0.42,687.00,"1,453,727.00"
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,9,2025-11-09,"2,135.00","2,135.00","2,104.00","2,129.00",-0.51,346.00,"731,251.10"
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,10,2025-11-06,"2,170.00","2,170.00","2,100.00","2,140.00",-1.25,"2,089.00","4,448,583.70"
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,11,2025-11-05,"2,126.00","2,167.00","2,122.00","2,167.00",0.23,"1,342.00","2,875,207.10"
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,12,2025-11-04,"2,207.90","2,225.00","2,130.00","2,162.00",-2.08,919.00,"1,979,502.60"
smb,Support Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/smb,13,2025-11-03,"2,190.00","2,207.90","2,172.00","2,207.90",0.73,723.00,"1,584,575.00"
