symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,1,2025-04-09,750.00,750.00,750.00,750.00,0.00,"2,000.00","922,000.00"
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,2,2025-03-25,750.00,750.00,750.00,750.00,0.00,"4,000.00","1,873,900.00"
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,3,2024-12-01,825.00,825.00,750.00,750.00,15.03,215.00,"169,875.00"
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,4,2023-05-30,512.00,512.00,512.00,512.00,-21.47,"7,150.00","3,660,800.00"
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,5,2022-10-09,652.00,652.00,652.00,652.00,0.00,"1,000.00","652,000.00"
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,6,2022-09-28,652.00,652.00,652.00,652.00,0.00,200.00,"130,400.00"
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,7,2022-05-08,962.00,962.00,962.00,962.00,0.00,"3,100.00","1,783,080.00"
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,8,2022-04-26,962.00,962.00,962.00,962.00,-1.94,"1,200.00","1,154,400.00"
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,9,2022-04-20,981.00,981.00,981.00,981.00,0.00,"1,300.00","1,275,300.00"
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,10,2022-04-19,981.00,981.00,981.00,981.00,0.00,500.00,"490,500.00"
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,11,2022-04-18,981.00,981.00,981.00,981.00,0.00,500.00,"490,500.00"
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,12,2022-04-17,981.00,981.00,981.00,981.00,-2.00,400.00,"392,400.00"
smbpo,Support Microfinance Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/smbpo,13,2022-04-13,"1,001.00","1,001.00","1,001.00","1,001.00",0.00,600.00,"600,600.00"
