symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,1,2025-11-19,518.00,518.00,501.30,508.00,-0.96,"7,119.00","3,596,011.90"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,2,2025-11-18,490.30,519.90,490.30,512.90,4.67,"19,038.00","9,688,367.40"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,3,2025-11-17,487.00,496.00,487.00,490.00,0.00,"6,748.00","3,318,810.20"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,4,2025-11-16,492.50,500.00,486.30,490.00,-1.78,"7,271.00","3,565,244.60"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,5,2025-11-13,500.00,502.00,490.20,498.90,-0.22,"3,971.00","1,972,538.40"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,6,2025-11-12,500.00,500.00,495.00,500.00,0.00,"3,565.00","1,772,133.00"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,7,2025-11-11,490.00,501.00,489.00,500.00,2.06,"5,398.00","2,676,794.90"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,8,2025-11-10,490.00,499.80,485.00,489.90,-0.39,"17,815.00","8,731,193.30"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,9,2025-11-09,495.00,498.00,488.00,491.80,0.76,"8,541.00","4,202,284.60"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,10,2025-11-06,500.00,507.00,485.10,488.10,-2.96,"16,533.00","8,147,829.00"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,11,2025-11-05,494.00,505.00,494.00,503.00,0.80,"9,203.00","4,597,488.10"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,12,2025-11-04,505.00,513.00,498.50,499.00,-0.95,"15,964.00","8,007,242.20"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,13,2025-11-03,510.10,520.00,503.80,503.80,-2.93,"11,423.00","5,848,696.20"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,14,2025-11-02,512.10,527.00,512.00,519.00,-0.38,"13,250.00","6,869,038.00"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,15,2025-10-30,495.10,521.00,495.10,521.00,4.41,"10,713.00","5,493,317.90"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,16,2025-10-29,500.00,519.90,499.00,499.00,-0.20,"17,521.00","8,890,268.10"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,17,2025-10-28,495.00,515.00,495.00,500.00,1.21,"17,041.00","8,581,606.40"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,18,2025-10-26,483.10,500.00,480.00,494.00,0.28,"2,231.00","1,081,911.00"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,19,2025-10-19,480.00,505.00,480.00,492.60,0.74,"5,679.00","2,774,005.80"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,20,2025-10-16,483.00,500.00,483.00,489.00,-0.20,"2,175.00","1,068,885.00"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,21,2025-10-15,500.00,546.00,490.00,490.00,-3.35,"31,022.00","15,742,845.60"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,22,2025-10-14,508.00,511.70,498.00,507.00,-1.93,"10,986.00","5,512,341.10"
smjc,Sagarmatha Jalbidhyut Company Limited,Hydropower,https://www.sharesansar.com/company/smjc,23,2025-10-13,495.00,520.20,494.00,517.00,4.66,"15,357.00","7,810,219.00"
