symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,1,2025-11-19,471.00,478.00,469.00,476.50,0.74,"34,543.00","16,316,054.80"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,2,2025-11-18,482.00,482.00,472.00,473.00,-0.32,"58,144.00","27,793,437.80"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,3,2025-11-17,460.00,475.00,460.00,474.50,1.82,"18,427.00","8,660,676.70"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,4,2025-11-16,467.30,470.00,460.00,466.00,-0.28,"18,202.00","8,515,886.80"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,5,2025-11-13,471.60,473.00,465.00,467.30,-0.91,"21,244.00","9,985,493.10"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,6,2025-11-12,467.00,480.00,467.00,471.60,-0.49,"23,951.00","11,310,414.40"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,7,2025-11-11,475.00,475.00,466.10,473.90,1.48,"16,420.00","7,710,127.40"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,8,2025-11-10,462.00,474.30,462.00,467.00,0.97,"22,339.00","10,420,444.30"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,9,2025-11-09,481.30,481.30,460.10,462.50,-1.99,"47,895.00","22,271,781.50"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,10,2025-11-06,481.00,481.00,465.70,471.90,-0.02,"36,472.00","17,307,340.40"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,11,2025-11-05,477.00,480.00,466.00,472.00,-0.61,"18,659.00","8,749,270.40"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,12,2025-11-04,480.00,485.90,470.00,474.90,-1.06,"49,540.00","23,584,511.40"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,13,2025-11-03,481.00,489.00,475.00,480.00,-1.23,"74,993.00","36,115,225.00"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,14,2025-11-02,483.50,487.90,468.00,486.00,2.32,"62,615.00","30,145,701.60"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,15,2025-10-30,455.00,475.00,448.00,475.00,4.86,"48,756.00","22,412,491.40"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,16,2025-10-29,450.00,462.10,448.00,453.00,-0.44,"32,713.00","14,913,537.10"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,17,2025-10-28,435.00,455.00,432.50,455.00,4.60,"31,720.00","14,276,013.40"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,18,2025-10-26,425.00,437.50,423.10,435.00,1.16,"15,938.00","6,837,672.30"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,19,2025-10-19,427.50,434.00,422.10,430.00,0.58,"8,566.00","3,662,443.80"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,20,2025-10-16,432.00,434.90,425.00,427.50,-1.04,"10,021.00","4,282,754.20"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,21,2025-10-15,430.00,437.50,429.00,432.00,-1.14,"13,654.00","5,894,525.40"
snli,Sun Nepal Life Insurance Company Limited,Life Insurance,https://www.sharesansar.com/company/snli,22,2025-10-14,428.00,439.80,425.00,437.00,2.08,"21,022.00","9,117,376.10"
