symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,1,2025-11-19,471.70,472.80,457.10,464.90,-0.02,"5,861.00","2,707,469.60"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,2,2025-11-18,461.00,469.00,460.00,465.00,2.09,"10,443.00","4,840,387.60"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,3,2025-11-17,454.00,460.00,450.00,455.50,-0.48,"5,675.00","2,591,582.20"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,4,2025-11-16,456.90,459.00,446.20,457.70,1.49,"2,541.00","1,155,121.50"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,5,2025-11-13,458.80,458.80,448.30,451.00,-0.66,"6,558.00","2,958,915.00"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,6,2025-11-12,461.00,461.00,446.00,454.00,-0.22,"4,223.00","1,906,932.10"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,7,2025-11-11,464.00,464.00,447.00,455.00,0.00,"9,544.00","4,331,638.20"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,8,2025-11-10,450.60,464.30,446.20,455.00,-0.04,"9,327.00","4,215,497.20"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,9,2025-11-09,455.00,466.10,455.00,455.20,-0.39,"5,285.00","2,430,945.80"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,10,2025-11-06,470.40,474.00,457.00,457.00,-0.91,"7,790.00","3,607,766.50"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,11,2025-11-05,475.00,475.00,456.00,461.20,-1.87,"8,371.00","3,872,708.80"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,12,2025-11-04,471.20,478.00,466.00,470.00,-1.36,"4,888.00","2,307,927.50"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,13,2025-11-03,475.00,488.90,475.00,476.50,-0.73,"5,139.00","2,454,102.60"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,14,2025-11-02,480.00,490.00,475.00,480.00,2.00,"14,513.00","6,983,011.60"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,15,2025-10-30,461.00,475.00,461.00,470.60,0.15,"2,579.00","1,213,948.30"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,16,2025-10-29,480.00,480.00,462.10,469.90,-0.63,"4,377.00","2,058,487.10"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,17,2025-10-28,451.80,473.90,450.00,472.90,6.75,"7,040.00","3,244,509.80"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,18,2025-10-26,453.90,454.00,443.00,443.00,-0.45,"1,904.00","849,524.90"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,19,2025-10-19,452.00,458.70,445.00,445.00,0.23,"2,573.00","1,157,282.70"
spc,Samling Power Company Limited,Hydropower,https://www.sharesansar.com/company/spc,20,2025-10-16,452.20,456.00,441.00,444.00,-3.06,"2,644.00","1,180,339.90"
