symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,1,2025-11-19,498.10,505.00,498.10,505.00,0.20,"3,736.00","1,865,690.80"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,2,2025-11-18,483.50,510.00,483.50,504.00,2.17,"6,358.00","3,197,011.80"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,3,2025-11-17,488.10,505.00,488.10,493.30,-0.54,"3,496.00","1,734,487.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,4,2025-11-16,495.10,504.00,495.00,496.00,-1.78,"2,627.00","1,308,121.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,5,2025-11-13,493.30,505.00,493.30,505.00,0.40,"1,682.00","839,490.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,6,2025-11-12,496.30,503.00,496.00,503.00,0.60,"3,983.00","1,984,451.60"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,7,2025-11-11,514.00,514.00,500.00,500.00,-0.79,"3,147.00","1,577,367.90"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,8,2025-11-10,505.00,510.00,495.10,504.00,-0.77,"5,350.00","2,667,423.40"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,9,2025-11-09,505.30,513.00,500.00,507.90,-1.38,"3,060.00","1,546,070.10"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,10,2025-11-06,512.50,518.00,511.00,515.00,0.37,"2,989.00","1,540,468.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,11,2025-11-05,506.00,526.00,506.00,513.10,-0.58,"4,112.00","2,113,982.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,12,2025-11-04,539.50,539.50,516.00,516.10,-2.44,"3,074.00","1,603,937.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,13,2025-11-03,519.40,553.40,515.00,529.00,-0.19,"22,178.00","11,669,134.80"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,14,2025-11-02,512.10,552.00,512.10,530.00,1.73,"14,276.00","7,475,687.70"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,15,2025-10-30,504.00,524.20,487.10,521.00,3.23,"9,724.00","5,031,690.10"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,16,2025-10-29,514.00,523.00,495.90,504.70,0.02,"2,410.00","1,213,887.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,17,2025-10-28,477.10,514.90,477.10,504.60,3.91,"6,460.00","3,207,661.60"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,18,2025-10-26,494.00,494.00,485.10,485.60,-1.70,"1,646.00","807,138.10"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,19,2025-10-19,500.00,500.00,488.00,494.00,-0.60,"3,213.00","1,579,660.80"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,20,2025-10-16,482.30,508.00,482.20,497.00,1.62,"2,020.00","996,168.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,21,2025-10-15,495.00,504.90,488.50,489.10,-1.79,"3,050.00","1,503,909.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,22,2025-10-14,510.00,517.90,490.00,498.00,-2.35,"4,302.00","2,125,282.60"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,23,2025-10-13,505.00,515.00,495.30,510.00,-0.78,"6,637.00","3,342,219.20"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,24,2025-10-12,515.00,515.00,485.10,514.00,-2.04,"7,371.00","3,693,495.30"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,25,2025-10-09,528.30,549.00,518.00,524.70,1.29,"3,521.00","1,863,628.60"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,26,2025-10-08,537.10,537.10,507.00,518.00,-5.47,"7,355.00","3,807,298.70"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,27,2025-10-07,533.20,550.00,516.00,548.00,0.74,"3,738.00","1,997,335.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,28,2025-09-28,546.00,549.00,528.00,544.00,1.30,"5,245.00","2,811,112.70"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,29,2025-09-25,558.00,558.00,527.10,537.00,-4.11,"7,974.00","4,350,232.40"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,30,2025-09-24,543.00,584.90,536.40,560.00,1.08,"6,921.00","3,872,355.40"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,31,2025-09-23,514.00,554.00,505.00,554.00,9.83,"10,716.00","5,712,675.20"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,32,2025-09-21,497.00,518.00,481.00,504.41,-0.53,"13,005.00","6,498,646.40"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,33,2025-09-18,507.10,507.10,507.10,507.10,-1.99,10.00,"5,071.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,34,2025-09-08,521.00,536.00,515.00,517.38,-1.65,"8,420.00","4,392,216.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,35,2025-09-07,535.10,545.00,519.10,526.05,-3.33,"7,252.00","3,855,896.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,36,2025-09-04,541.00,555.00,531.10,544.19,-1.40,"7,595.00","4,122,603.90"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,37,2025-09-03,562.00,565.00,550.00,551.94,-1.11,"5,980.00","3,319,088.70"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,38,2025-09-02,560.30,565.00,556.20,558.11,-1.01,"2,398.00","1,342,932.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,39,2025-09-01,559.00,570.00,558.00,563.83,0.65,"10,168.00","5,712,913.80"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,40,2025-08-31,560.00,583.00,560.00,560.20,-1.34,"2,823.00","1,589,380.40"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,41,2025-08-28,572.20,592.50,561.00,567.79,-2.61,"13,321.00","7,569,063.50"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,42,2025-08-27,564.20,584.00,564.20,583.02,2.25,"8,648.00","5,000,943.50"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,43,2025-08-26,572.00,586.90,566.00,570.21,-0.95,"3,166.00","1,815,323.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,44,2025-08-25,566.20,585.80,555.00,575.67,0.78,"12,960.00","7,448,324.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,45,2025-08-24,571.10,591.00,570.00,571.24,-0.31,"8,540.00","4,910,752.20"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,46,2025-08-21,588.20,599.00,570.00,573.00,-4.53,"24,002.00","13,959,791.60"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,47,2025-08-20,598.10,601.00,596.00,600.20,-1.05,"5,020.00","3,008,050.50"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,48,2025-08-19,605.00,623.80,600.10,606.56,-0.83,"8,336.00","5,107,644.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,49,2025-08-18,578.50,620.00,565.00,611.64,3.80,"47,721.00","28,105,853.60"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,50,2025-08-17,606.00,630.00,577.30,589.27,-0.91,"8,489.00","4,988,080.20"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,51,2025-08-14,610.00,610.00,593.20,594.70,-2.24,"16,160.00","9,646,698.50"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,52,2025-08-13,612.50,636.40,608.00,608.34,-0.65,"12,148.00","7,473,196.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,53,2025-08-12,623.20,623.20,611.10,612.33,-3.31,"14,502.00","8,949,502.70"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,54,2025-08-11,647.00,680.00,620.00,633.27,-2.99,"39,512.00","24,863,553.90"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,55,2025-08-07,663.00,663.00,636.00,652.82,0.18,"4,867.00","3,151,832.60"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,56,2025-08-06,660.00,670.00,650.00,651.64,-2.41,"6,425.00","4,201,769.40"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,57,2025-08-05,667.50,693.50,660.00,667.76,-1.79,"13,193.00","8,875,475.70"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,58,2025-08-04,690.00,695.00,671.30,679.90,-0.28,"2,465.00","1,675,976.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,59,2025-08-03,699.90,713.00,677.20,681.82,-3.23,"5,840.00","4,007,673.70"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,60,2025-07-31,691.00,714.00,676.90,704.55,0.22,"15,088.00","10,430,718.40"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,61,2025-07-30,705.00,718.90,700.00,703.01,-0.58,"13,181.00","9,334,541.80"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,62,2025-07-29,668.00,736.00,668.00,707.13,3.88,"32,960.00","23,127,899.70"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,63,2025-07-28,675.00,698.00,665.00,680.75,-0.53,"8,823.00","5,941,685.50"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,64,2025-07-27,695.00,705.00,680.00,684.39,-1.37,"5,706.00","3,927,587.80"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,65,2025-07-24,711.80,713.00,686.00,693.91,-0.77,"6,238.00","4,338,975.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,66,2025-07-23,691.00,705.00,688.00,699.30,-0.18,"5,406.00","3,763,822.10"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,67,2025-07-22,701.00,705.00,690.00,700.57,1.34,"3,115.00","2,180,924.40"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,68,2025-07-21,681.00,713.00,680.10,691.33,0.67,"2,347.00","1,629,379.30"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,69,2025-07-20,699.00,722.90,676.20,686.75,0.08,"5,841.00","4,090,636.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,70,2025-07-17,679.00,717.00,668.00,686.19,2.77,"5,384.00","3,676,566.60"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,71,2025-07-16,659.00,670.00,653.10,667.69,1.04,"1,574.00","1,041,066.50"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,72,2025-07-15,660.00,670.00,653.50,660.83,0.41,"1,316.00","875,770.70"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,73,2025-07-14,650.00,659.90,645.00,658.14,2.33,"4,544.00","2,977,516.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,74,2025-07-13,666.00,666.00,642.30,643.13,-1.61,"1,077.00","703,918.70"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,75,2025-07-10,646.50,663.30,646.50,653.63,-0.77,"1,011.00","665,233.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,76,2025-07-09,648.40,670.00,648.40,658.70,-0.08,850.00,"562,214.00"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,77,2025-07-08,646.00,671.80,636.00,659.24,4.07,"8,339.00","5,465,517.60"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,78,2025-07-07,640.00,674.60,631.00,633.45,-2.33,"3,058.00","1,981,245.20"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,79,2025-07-06,668.00,675.00,646.00,648.53,-3.71,"2,145.00","1,400,937.40"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,80,2025-07-03,644.60,680.00,622.30,673.51,6.57,"3,561.00","2,320,742.80"
sphl,Sayapatri Hydropower Limited,Hydropower,https://www.sharesansar.com/company/sphl,81,2025-07-02,629.00,645.00,629.00,632.00,0.29,"1,105.00","699,272.50"
