symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,1,2025-11-20,650.00,659.00,647.50,656.00,-0.46,"3,068.00","1,992,020.90"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,2,2025-11-19,660.00,666.00,650.00,659.00,-1.05,"3,001.00","1,964,337.00"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,3,2025-11-18,655.10,667.00,651.20,666.00,1.60,"6,848.00","4,536,619.00"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,4,2025-11-17,650.00,657.00,646.10,655.50,0.85,"1,866.00","1,214,994.50"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,5,2025-11-16,648.00,656.90,647.00,650.00,-1.22,"4,927.00","3,198,810.80"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,6,2025-11-13,652.00,658.00,645.30,658.00,0.46,"3,084.00","1,996,970.50"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,7,2025-11-12,657.00,680.00,647.30,655.00,-0.30,"11,545.00","7,573,007.20"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,8,2025-11-11,653.10,666.00,651.70,657.00,0.14,"7,882.00","5,167,830.50"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,9,2025-11-10,663.00,667.00,653.20,656.10,-1.04,"3,957.00","2,607,004.80"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,10,2025-11-09,690.40,690.40,663.00,663.00,-2.07,"8,190.00","5,481,538.50"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,11,2025-11-06,680.00,680.00,670.00,677.00,-0.43,"7,742.00","5,203,776.80"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,12,2025-11-05,680.00,680.00,670.00,679.90,-0.21,"1,781.00","1,197,749.80"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,13,2025-11-04,680.40,705.00,680.40,681.30,-1.69,"7,975.00","5,503,075.10"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,14,2025-11-03,700.00,714.00,687.00,693.00,0.87,"20,074.00","13,865,101.30"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,15,2025-11-02,680.00,693.00,680.00,687.00,-0.85,"11,080.00","7,625,110.50"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,16,2025-10-30,666.50,692.90,648.00,692.90,5.54,"12,619.00","8,322,500.50"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,17,2025-10-29,650.00,680.00,644.10,656.50,0.23,"2,797.00","1,868,194.30"
spil,Siddhartha Premier Insurance Limited,Non-Life Insurance,https://www.sharesansar.com/company/spil,18,2025-10-28,645.00,655.00,636.00,655.00,2.34,"1,067.00","692,668.30"
