symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
spl,Shuvam Power Limited,Hydropower,https://www.sharesansar.com/company/spl,1,2025-11-19,926.00,934.90,917.10,934.90,-0.06,350.00,"322,020.00"
spl,Shuvam Power Limited,Hydropower,https://www.sharesansar.com/company/spl,2,2025-11-18,905.00,935.50,905.00,935.50,1.68,690.00,"637,063.30"
spl,Shuvam Power Limited,Hydropower,https://www.sharesansar.com/company/spl,3,2025-11-17,912.00,923.50,912.00,920.00,-0.33,408.00,"373,541.60"
spl,Shuvam Power Limited,Hydropower,https://www.sharesansar.com/company/spl,4,2025-11-16,908.00,923.00,908.00,923.00,0.33,170.00,"155,855.00"
spl,Shuvam Power Limited,Hydropower,https://www.sharesansar.com/company/spl,5,2025-11-13,928.00,950.00,903.70,920.00,1.10,"1,268.00","1,170,819.60"
spl,Shuvam Power Limited,Hydropower,https://www.sharesansar.com/company/spl,6,2025-11-12,940.00,960.00,910.00,910.00,-3.50,610.00,"574,374.00"
spl,Shuvam Power Limited,Hydropower,https://www.sharesansar.com/company/spl,7,2025-11-11,943.40,953.20,925.00,943.00,-0.04,173.00,"162,569.60"
spl,Shuvam Power Limited,Hydropower,https://www.sharesansar.com/company/spl,8,2025-11-10,930.00,945.00,930.00,943.40,0.04,412.00,"387,673.40"
spl,Shuvam Power Limited,Hydropower,https://www.sharesansar.com/company/spl,9,2025-11-09,935.00,946.00,934.00,943.00,-0.32,"1,000.00","939,690.00"
spl,Shuvam Power Limited,Hydropower,https://www.sharesansar.com/company/spl,10,2025-11-06,940.00,958.00,940.00,946.00,-1.23,"24,048.00","22,851,062.80"
spl,Shuvam Power Limited,Hydropower,https://www.sharesansar.com/company/spl,11,2025-11-05,941.10,960.00,941.10,957.80,0.83,"13,604.00","12,977,025.00"
spl,Shuvam Power Limited,Hydropower,https://www.sharesansar.com/company/spl,12,2025-11-04,938.00,956.70,936.00,949.90,-0.01,814.00,"767,751.00"
