symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,1,2025-10-07,"1,110.00","1,110.00","1,110.00","1,110.00",0.91,200.00,"222,000.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,2,2025-09-25,"1,100.00","1,100.00","1,100.00","1,100.00",0.92,25.00,"27,500.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,3,2025-09-07,"1,090.00","1,090.00","1,090.00","1,090.00",0.93,25.00,"27,250.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,4,2025-09-04,"1,065.10","1,080.00","1,065.10","1,080.00",1.88,50.00,"53,627.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,5,2025-08-28,"1,057.00","1,060.10","1,057.00","1,060.10",-1.31,115.00,"121,756.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,6,2025-08-17,"1,074.20","1,074.20","1,074.20","1,074.20",1.99,50.00,"53,710.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,7,2025-08-11,"1,053.10","1,053.20","1,053.10","1,053.20",-1.75,50.00,"52,657.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,8,2025-08-04,"1,072.00","1,072.00","1,072.00","1,072.00",-1.52,25.00,"26,800.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,9,2025-07-28,"1,075.00","1,088.50","1,075.00","1,088.50",1.26,64.00,"69,137.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,10,2025-07-27,"1,053.50","1,075.00","1,053.50","1,075.00",0.00,377.00,"403,737.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,11,2025-07-24,"1,075.00","1,075.00","1,075.00","1,075.00",-1.92,205.00,"220,375.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,12,2025-07-23,"1,065.10","1,065.10","1,065.10","1,096.00",1.17,26.00,"27,723.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,13,2025-07-22,"1,075.00","1,095.00","1,075.00","1,083.33",-0.25,"2,150.00","2,347,498.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,14,2025-07-21,"1,080.10","1,086.00","1,080.10","1,086.00",2.45,230.00,"249,619.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,15,2025-07-20,"1,103.50","1,103.50","1,038.80","1,060.00",-5.86,865.00,"917,398.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,16,2025-07-09,"1,126.00","1,126.00","1,126.00","1,126.00",1.15,10.00,"11,260.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,17,2025-06-30,"1,113.20","1,113.20","1,113.20","1,113.20",2.00,10.00,"11,132.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,18,2025-06-26,"1,091.40","1,091.40","1,091.40","1,091.40",2.00,25.00,"27,285.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,19,2025-06-25,"1,074.00","1,074.00","1,070.10","1,070.00",0.00,38.00,"40,702.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,20,2025-06-02,"1,070.00","1,070.00","1,070.00","1,070.00",-0.10,15.00,"16,050.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,21,2025-05-26,"1,066.00","1,071.10","1,066.00","1,071.10",0.48,52.00,"55,697.20"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,22,2025-05-25,"1,066.10","1,066.10","1,066.00","1,066.00",0.41,25.00,"26,651.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,23,2025-05-08,"1,059.00","1,059.00","1,059.00","1,061.70",0.25,2.00,"2,123.40"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,24,2025-05-06,"1,082.90","1,082.90","1,059.00","1,059.00",-4.16,800.00,"858,715.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,25,2025-04-28,"1,105.00","1,105.00","1,105.00","1,105.00",0.00,38.00,"41,990.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,26,2025-04-21,"1,101.00","1,101.00","1,100.00","1,105.00",1.84,100.00,"110,085.90"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,27,2025-03-30,"1,085.00","1,085.00","1,085.00","1,085.00",0.00,136.00,"147,560.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,28,2025-03-27,"1,075.00","1,085.00","1,075.00","1,085.00",-0.09,500.00,"540,820.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,29,2025-03-26,"1,077.00","1,086.00","1,077.00","1,086.00",2.82,43.00,"46,536.90"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,30,2025-03-24,"1,055.10","1,055.10","1,055.10","1,056.20",-0.45,124.00,"130,833.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,31,2025-03-19,"1,061.00","1,061.00","1,061.00","1,061.00",0.09,2.00,"2,122.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,32,2025-03-18,"1,060.00","1,060.00","1,060.00","1,060.00",0.19,1.00,"1,060.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,33,2025-03-12,"1,058.00","1,058.00","1,058.00","1,058.00",2.00,2.00,"2,116.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,34,2025-03-10,"1,043.50","1,043.50","1,037.30","1,037.30",-1.21,100.00,"103,962.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,35,2025-03-04,"1,050.00","1,050.00","1,050.00","1,050.00",-0.71,25.00,"26,250.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,36,2025-02-23,"1,057.50","1,057.50","1,057.50","1,057.50",-1.99,15.00,"15,862.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,37,2025-02-16,"1,079.00","1,079.00","1,079.00","1,079.00",0.84,10.00,"10,790.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,38,2025-02-10,"1,070.00","1,070.00","1,070.00","1,070.00",0.19,100.00,"107,000.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,39,2025-02-09,"1,071.00","1,071.00","1,068.00","1,068.00",1.71,65.00,"69,570.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,40,2025-02-04,"1,050.00","1,050.00","1,050.00","1,050.00",0.96,20.00,"21,000.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,41,2025-02-03,"1,053.00","1,053.00","1,040.00","1,040.00",-0.79,700.00,"734,503.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,42,2025-02-02,"1,055.00","1,055.00","1,048.30","1,048.30",-1.94,50.00,"52,570.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,43,2025-01-28,"1,048.00","1,069.00","1,047.70","1,069.00",0.85,75.00,"79,134.50"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,44,2025-01-27,"1,060.00","1,060.00","1,060.00","1,060.00",0.86,25.00,"26,500.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,45,2025-01-26,"1,069.10","1,070.00","1,051.00","1,051.00",-3.49,"1,195.00","1,268,665.60"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,46,2025-01-23,"1,089.00","1,089.00","1,089.00","1,089.00",-1.89,30.00,"32,670.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,47,2025-01-08,"1,110.00","1,110.00","1,110.00","1,110.00",-1.77,190.00,"210,900.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,48,2025-01-05,"1,130.00","1,130.00","1,130.00","1,130.00",1.35,20.00,"22,600.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,49,2025-01-02,"1,115.00","1,115.00","1,115.00","1,115.00",-1.85,7.00,"7,805.00"
srbld83,10.25% SRBL Debenture 2083,Corporate Debentures,https://www.sharesansar.com/company/srbld83,50,2024-12-31,"1,138.00","1,138.00","1,116.00","1,136.00",-1.44,850.00,"952,140.00"
