symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,1,2025-11-19,795.60,795.60,777.00,780.00,0.00,"5,665.00","4,416,886.20"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,2,2025-11-18,787.00,794.00,780.00,780.00,-0.52,"7,404.00","5,808,952.10"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,3,2025-11-17,786.00,790.00,780.00,784.10,0.27,"2,126.00","1,667,503.30"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,4,2025-11-16,775.20,785.00,770.00,782.00,-1.01,"3,053.00","2,385,100.90"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,5,2025-11-13,796.00,796.00,778.00,790.00,1.14,"6,053.00","4,748,804.10"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,6,2025-11-12,785.00,795.00,780.00,781.10,-0.24,"5,343.00","4,185,191.20"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,7,2025-11-11,797.00,797.00,780.00,783.00,-1.51,"8,510.00","6,666,027.30"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,8,2025-11-10,792.00,795.90,775.00,795.00,1.47,"7,955.00","6,230,198.30"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,9,2025-11-09,800.00,800.00,783.50,783.50,-1.09,"7,056.00","5,575,681.40"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,10,2025-11-06,809.00,812.00,790.00,792.10,-0.74,"5,711.00","4,545,986.00"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,11,2025-11-05,810.00,810.00,790.00,798.00,-0.01,"5,523.00","4,389,302.80"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,12,2025-11-04,806.00,806.10,798.10,798.10,-1.87,"5,564.00","4,458,180.80"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,13,2025-11-03,822.00,822.00,813.30,813.30,-1.06,"4,784.00","3,902,777.20"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,14,2025-11-02,815.00,829.00,815.00,822.00,0.24,"6,212.00","5,116,318.70"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,15,2025-10-30,823.00,823.00,783.20,820.00,1.23,"9,408.00","7,537,882.10"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,16,2025-10-29,814.00,814.00,796.00,810.00,1.24,"7,693.00","6,191,792.50"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,17,2025-10-28,795.00,808.00,790.00,800.10,1.91,"5,613.00","4,487,902.00"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,18,2025-10-26,781.00,795.00,781.00,785.10,-0.11,"2,247.00","1,764,503.90"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,19,2025-10-19,796.00,796.00,780.50,786.00,0.64,"3,590.00","2,832,028.90"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,20,2025-10-16,779.00,790.00,777.00,781.00,-1.13,"4,690.00","3,663,497.10"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,21,2025-10-15,775.00,800.00,762.00,789.90,0.11,"6,431.00","5,030,622.30"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,22,2025-10-14,790.00,800.00,785.00,789.00,-1.13,"2,833.00","2,226,139.50"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,23,2025-10-13,775.00,805.00,775.00,798.00,2.82,"8,923.00","7,066,011.90"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,24,2025-10-12,798.00,800.00,776.10,776.10,-4.54,"12,923.00","10,156,123.80"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,25,2025-10-09,816.00,848.00,793.80,813.00,1.63,"15,363.00","12,499,962.00"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,26,2025-10-08,815.00,815.00,794.00,800.00,-2.91,"11,350.00","9,104,407.30"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,27,2025-10-07,844.70,844.90,815.00,824.00,-2.45,"6,763.00","5,561,029.00"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,28,2025-09-28,845.00,845.00,833.00,844.70,1.16,"2,655.00","2,220,729.50"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,29,2025-09-25,855.00,855.00,834.20,835.00,-0.60,"4,970.00","4,156,120.30"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,30,2025-09-24,850.00,850.00,835.60,840.00,-1.64,"2,056.00","1,730,756.50"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,31,2025-09-23,822.00,854.00,818.00,854.00,4.53,"6,916.00","5,813,025.20"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,32,2025-09-21,758.00,820.00,758.00,817.02,7.50,"9,601.00","7,737,459.90"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,33,2025-09-18,807.00,807.00,756.90,760.00,-7.67,976.00,"757,924.00"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,34,2025-09-08,840.90,841.00,820.00,823.11,-1.22,"8,090.00","6,682,924.40"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,35,2025-09-07,835.00,838.90,831.20,833.30,0.68,"2,086.00","1,739,684.60"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,36,2025-09-04,825.10,841.60,815.10,827.71,-0.45,"15,851.00","13,046,529.20"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,37,2025-09-03,840.00,843.00,831.00,831.42,-0.21,"5,331.00","4,455,619.60"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,38,2025-09-02,850.00,856.90,830.00,833.19,-0.89,"6,942.00","5,808,034.60"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,39,2025-09-01,848.00,848.60,832.00,840.68,-0.88,"9,073.00","7,618,389.50"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,40,2025-08-31,880.00,880.00,845.00,848.13,-2.41,"11,975.00","10,255,911.80"
swbbl,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/swbbl,41,2025-08-28,890.00,890.00,865.00,869.06,-1.53,"13,476.00","11,783,880.50"
