symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,1,2025-11-20,382.00,382.00,382.00,382.00,0.00,"10,000.00","3,820,000.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,2,2025-08-19,392.00,392.00,392.00,392.00,-1.75,"4,000.00","1,568,000.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,3,2025-08-14,399.00,399.00,399.00,399.00,0.00,"1,592.00","635,208.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,4,2025-06-24,399.00,399.00,399.00,399.00,0.00,"9,045.00","3,608,955.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,5,2025-04-27,399.00,399.00,399.00,399.00,0.00,"17,000.00","6,783,000.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,6,2025-01-21,250.00,250.00,250.00,250.00,0.00,"7,634.00","1,908,500.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,7,2025-01-02,250.00,250.00,250.00,250.00,0.00,"1,400.00","140,000.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,8,2024-12-08,250.00,250.00,250.00,250.00,0.00,"40,728.00","10,182,000.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,9,2024-12-02,250.00,250.00,250.00,250.00,0.00,"3,174.00","793,500.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,10,2024-11-24,250.00,250.00,250.00,250.00,-0.44,"25,000.00","6,250,000.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,11,2024-11-20,251.10,251.10,251.10,251.10,0.00,"27,188.00","6,826,906.80"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,12,2024-11-05,251.10,251.10,251.10,251.10,0.00,"17,100.00","5,262,810.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,13,2024-09-24,251.10,251.10,251.10,251.10,0.00,"10,000.00","2,511,000.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,14,2024-07-29,251.10,251.10,251.10,251.10,0.00,"20,000.00","5,022,000.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,15,2024-06-09,247.00,251.10,247.00,251.10,0.00,"13,500.00","3,363,200.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,16,2024-04-07,342.00,342.00,342.00,342.00,0.00,"5,000.00","1,710,000.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,17,2024-03-28,342.00,342.00,342.00,342.00,0.00,"1,398.00","478,116.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,18,2024-03-27,342.00,342.00,342.00,342.00,0.00,"35,627.00","12,184,434.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,19,2024-03-21,342.00,342.00,342.00,342.00,0.00,"8,503.00","2,908,026.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,20,2024-03-17,342.00,342.00,342.00,342.00,0.00,"5,395.00","1,845,090.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,21,2024-03-07,342.00,342.00,342.00,342.00,0.00,"29,351.00","10,038,042.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,22,2024-03-05,342.00,342.00,342.00,342.00,0.00,"5,000.00","1,710,000.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,23,2024-03-03,342.00,342.00,342.00,342.00,0.00,"9,865.00","3,373,830.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,24,2024-02-08,200.00,200.00,196.00,196.00,0.00,"22,000.00","4,323,500.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,25,2023-12-18,342.00,342.00,342.00,342.00,0.00,"19,193.00","6,564,006.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,26,2023-12-17,342.00,342.00,342.00,342.00,0.00,"30,142.00","10,308,564.00"
swmfpo,Suryodaya Womi Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/swmfpo,27,2023-12-12,342.00,342.00,342.00,342.00,0.00,"57,857.00","19,787,094.00"
