symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,1,2025-11-19,471.10,475.80,468.00,469.00,-0.85,"9,370.00","4,399,418.00"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,2,2025-11-18,475.00,479.00,466.10,473.00,0.02,"5,544.00","2,622,185.30"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,3,2025-11-17,460.00,473.00,460.00,472.90,1.37,"3,355.00","1,576,211.90"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,4,2025-11-16,475.90,478.00,465.10,466.50,-1.14,"4,775.00","2,246,281.00"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,5,2025-11-13,462.80,478.00,462.00,471.90,1.24,"18,031.00","8,434,393.30"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,6,2025-11-12,470.00,475.00,466.10,466.10,-1.85,"5,441.00","2,545,379.00"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,7,2025-11-11,465.10,476.90,465.10,474.90,1.65,"5,618.00","2,654,899.40"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,8,2025-11-10,460.20,473.40,460.20,467.20,0.11,"9,184.00","4,303,500.40"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,9,2025-11-09,470.10,480.90,466.30,466.70,-1.75,"15,994.00","7,544,858.70"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,10,2025-11-06,470.10,482.00,470.10,475.00,-0.42,"10,377.00","4,936,627.30"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,11,2025-11-05,471.00,477.00,468.00,477.00,1.27,"6,527.00","3,087,681.00"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,12,2025-11-04,475.10,492.00,467.50,471.00,-2.69,"26,788.00","12,701,903.40"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,13,2025-11-03,495.00,495.00,475.80,484.00,-1.02,"12,720.00","6,141,974.50"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,14,2025-11-02,474.00,499.80,474.00,489.00,1.24,"9,818.00","4,794,916.60"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,15,2025-10-30,460.00,502.30,456.40,483.00,3.87,"15,739.00","7,469,996.10"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,16,2025-10-29,464.00,471.00,460.60,465.00,0.22,"12,089.00","5,638,322.20"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,17,2025-10-28,457.00,468.00,453.00,464.00,2.20,"15,312.00","7,039,887.00"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,18,2025-10-26,455.00,468.90,449.00,454.00,-0.22,"6,145.00","2,774,522.60"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,19,2025-10-19,462.00,463.00,452.00,455.00,0.18,"4,618.00","2,100,039.00"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,20,2025-10-16,464.00,464.00,454.00,454.20,-1.24,"6,885.00","3,141,388.90"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,21,2025-10-15,452.10,464.00,452.10,459.90,0.20,"6,933.00","3,164,834.20"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,22,2025-10-14,466.00,466.00,456.70,459.00,-1.50,"10,220.00","4,682,438.70"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,23,2025-10-13,455.00,472.90,443.00,466.00,2.26,"20,811.00","9,583,913.50"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,24,2025-10-12,470.00,472.00,455.70,455.70,-4.86,"25,243.00","11,705,721.80"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,25,2025-10-09,476.60,490.90,471.00,479.00,2.50,"20,869.00","9,970,548.90"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,26,2025-10-08,480.00,480.00,462.70,467.30,-3.05,"11,422.00","5,382,385.70"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,27,2025-10-07,489.10,493.00,480.00,482.00,-3.41,"8,482.00","4,108,462.00"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,28,2025-09-28,491.30,500.00,491.30,499.00,0.60,"4,240.00","2,104,993.20"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,29,2025-09-25,491.40,502.00,491.40,496.00,0.20,"8,122.00","4,042,106.00"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,30,2025-09-24,500.10,505.00,490.00,495.00,-2.37,"15,616.00","7,707,863.40"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,31,2025-09-23,485.00,507.00,485.00,507.00,3.20,"10,909.00","5,462,078.10"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,32,2025-09-21,469.00,496.00,461.00,491.30,4.96,"29,715.00","14,478,334.40"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,33,2025-09-18,486.00,486.00,466.80,468.10,-5.58,880.00,"422,568.00"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,34,2025-09-08,491.10,500.00,490.40,495.78,-0.69,"9,936.00","4,900,535.20"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,35,2025-09-07,496.20,503.00,496.20,499.23,-0.35,"8,619.00","4,298,747.90"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,36,2025-09-04,500.10,506.30,494.20,500.99,-0.53,"20,816.00","10,368,798.70"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,37,2025-09-03,503.50,507.00,503.00,503.66,-0.60,"9,306.00","4,695,718.00"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,38,2025-09-02,503.10,510.00,503.10,506.68,-0.07,"8,774.00","4,445,517.50"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,39,2025-09-01,499.30,510.00,499.30,507.04,-0.22,"8,036.00","4,068,176.80"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,40,2025-08-31,506.00,510.90,506.00,508.14,-0.80,"13,485.00","6,858,072.90"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,41,2025-08-28,522.00,525.00,512.00,512.24,-0.99,"24,173.00","12,527,420.90"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,42,2025-08-27,505.00,518.30,505.00,517.35,1.80,"7,688.00","3,956,989.20"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,43,2025-08-26,506.00,512.50,506.00,508.20,-0.14,"9,930.00","5,056,171.10"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,44,2025-08-25,503.20,514.00,503.20,508.93,0.36,"7,901.00","4,010,928.00"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,45,2025-08-24,509.00,511.00,505.20,507.12,-0.50,"9,503.00","4,826,927.30"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,46,2025-08-21,512.00,520.00,509.00,509.67,-1.20,"14,238.00","7,287,610.40"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,47,2025-08-20,520.00,523.00,515.30,515.87,-1.43,"8,470.00","4,393,081.60"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,48,2025-08-19,525.00,526.00,517.00,523.37,0.90,"17,288.00","9,053,581.50"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,49,2025-08-18,516.20,520.60,515.00,518.68,0.50,"13,900.00","7,193,006.50"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,50,2025-08-17,524.90,524.90,514.50,516.10,0.26,"13,936.00","7,203,303.80"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,51,2025-08-14,515.00,519.90,512.00,514.74,0.94,"20,944.00","10,779,825.60"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,52,2025-08-13,500.50,514.00,500.50,509.97,0.87,"7,395.00","3,767,965.50"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,53,2025-08-12,510.00,512.00,505.00,505.56,-0.95,"19,864.00","10,059,670.00"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,54,2025-08-11,512.00,525.90,510.00,510.42,-1.01,"19,712.00","10,148,672.50"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,55,2025-08-07,508.20,522.00,508.20,515.61,0.46,"19,002.00","9,810,814.90"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,56,2025-08-06,508.00,520.00,508.00,513.23,-0.06,"11,712.00","6,005,649.70"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,57,2025-08-05,516.00,521.00,511.10,513.52,-0.49,"16,048.00","8,294,465.20"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,58,2025-08-04,511.00,523.90,511.00,516.07,0.34,"19,375.00","9,990,370.10"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,59,2025-08-03,515.50,525.00,513.00,514.30,-1.75,"31,585.00","16,302,609.40"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,60,2025-07-31,525.10,538.00,522.00,523.47,-1.28,"33,327.00","17,561,054.80"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,61,2025-07-30,542.00,548.00,527.30,530.26,-2.58,"60,646.00","32,665,267.90"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,62,2025-07-29,551.00,563.80,539.00,544.30,-0.01,"55,030.00","30,189,441.80"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,63,2025-07-28,540.00,547.00,535.00,544.38,-0.79,"35,924.00","19,424,489.40"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,64,2025-07-27,570.00,576.00,545.00,548.74,-2.88,"107,446.00","60,386,813.10"
tamor,Sanima Middle Tamor Hydropower Limited,Hydropower,https://www.sharesansar.com/company/tamor,65,2025-07-24,540.00,571.00,540.00,565.00,3.87,"112,588.00","62,906,590.50"
