symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,1,2025-11-19,584.00,585.00,580.00,580.00,-1.19,"4,983.00","2,896,342.00"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,2,2025-11-18,583.00,603.00,567.50,587.00,1.38,"37,935.00","22,033,459.70"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,3,2025-11-17,580.00,588.50,577.30,579.00,-0.86,"6,975.00","4,058,428.00"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,4,2025-11-16,591.00,591.50,575.00,584.00,0.69,"9,516.00","5,521,814.60"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,5,2025-11-13,579.50,588.50,571.20,580.00,0.09,"9,907.00","5,786,348.40"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,6,2025-11-12,575.00,585.00,570.10,579.50,0.78,"8,836.00","5,120,081.80"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,7,2025-11-11,565.00,598.00,565.00,575.00,1.77,"4,899.00","2,816,342.30"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,8,2025-11-10,569.00,574.50,563.00,565.00,-0.70,"6,499.00","3,683,942.30"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,9,2025-11-09,586.00,586.00,565.00,569.00,-2.90,"8,667.00","4,952,411.70"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,10,2025-11-06,571.40,592.60,571.40,586.00,0.86,"8,183.00","4,771,197.00"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,11,2025-11-05,570.10,585.00,567.40,581.00,0.69,"15,399.00","8,798,226.80"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,12,2025-11-04,595.00,600.00,570.40,577.00,-3.03,"12,748.00","7,374,333.80"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,13,2025-11-03,577.00,612.00,577.00,595.00,3.12,"22,780.00","13,390,562.50"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,14,2025-11-02,570.00,586.00,559.00,577.00,0.52,"17,022.00","9,893,059.50"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,15,2025-10-30,555.00,577.40,546.00,574.00,3.80,"14,445.00","8,207,305.30"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,16,2025-10-29,553.30,573.00,550.00,553.00,-1.60,"8,575.00","4,794,592.60"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,17,2025-10-28,544.50,564.00,544.50,562.00,3.12,"7,908.00","4,407,802.00"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,18,2025-10-26,525.00,546.60,521.00,545.00,2.99,"7,863.00","4,241,577.00"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,19,2025-10-19,530.00,541.00,524.30,529.20,-0.53,"6,551.00","3,484,135.00"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,20,2025-10-16,533.00,533.20,525.30,532.00,-1.21,"3,926.00","2,070,286.70"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,21,2025-10-15,528.10,540.00,527.30,538.50,0.28,"10,340.00","5,506,939.50"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,22,2025-10-14,542.00,542.00,527.20,537.00,-1.29,"6,276.00","3,344,413.40"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,23,2025-10-13,540.00,550.00,534.00,544.00,-0.73,"13,105.00","7,084,897.40"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,24,2025-10-12,555.50,556.00,530.00,548.00,-3.32,"19,976.00","10,830,036.80"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,25,2025-10-09,567.00,589.50,557.20,566.80,1.94,"13,807.00","7,865,127.50"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,26,2025-10-08,579.00,579.00,546.30,556.00,-3.47,"16,405.00","9,157,247.40"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,27,2025-10-07,615.00,615.00,573.00,576.00,-4.48,"9,061.00","5,266,522.10"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,28,2025-09-28,611.00,614.00,591.00,603.00,0.63,"10,348.00","6,188,696.80"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,29,2025-09-25,604.00,614.90,593.00,599.20,1.13,"15,753.00","9,494,551.10"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,30,2025-09-24,584.00,619.00,580.10,592.50,1.16,"33,129.00","19,922,284.40"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,31,2025-09-23,551.20,586.00,550.00,585.70,5.85,"23,510.00","13,446,893.20"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,32,2025-09-21,556.00,561.00,529.30,553.32,0.15,"20,700.00","11,404,146.30"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,33,2025-09-08,567.00,567.00,549.00,552.48,-0.73,"8,191.00","4,523,677.40"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,34,2025-09-07,575.00,576.50,556.00,556.54,-1.76,"6,184.00","3,478,064.70"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,35,2025-09-04,575.00,581.50,555.00,566.51,-1.74,"17,062.00","9,615,251.50"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,36,2025-09-03,581.00,595.00,575.00,576.53,-1.62,"11,756.00","6,825,541.10"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,37,2025-09-02,590.00,592.00,585.00,586.00,-0.14,"7,235.00","4,250,898.50"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,38,2025-09-01,581.30,596.80,580.50,586.80,-0.71,"11,042.00","6,508,825.20"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,39,2025-08-31,584.60,601.90,584.60,591.01,-0.93,"12,695.00","7,525,359.30"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,40,2025-08-28,596.10,614.00,596.00,596.53,-1.59,"15,947.00","9,607,593.50"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,41,2025-08-27,595.00,610.00,590.20,606.15,1.64,"14,167.00","8,524,469.90"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,42,2025-08-26,592.50,604.60,592.20,596.38,-0.31,"5,076.00","3,043,642.70"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,43,2025-08-25,590.00,600.00,590.00,598.26,0.82,"5,444.00","3,251,152.60"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,44,2025-08-24,599.00,603.90,592.10,593.38,-0.57,"9,834.00","5,867,991.20"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,45,2025-08-21,582.00,602.60,582.00,596.81,0.93,"13,402.00","8,001,462.50"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,46,2025-08-20,610.00,617.00,590.00,591.29,-3.40,"11,533.00","6,945,659.60"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,47,2025-08-19,615.00,624.20,606.20,612.13,0.01,"14,305.00","8,796,690.40"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,48,2025-08-18,620.00,624.00,610.10,612.06,-0.23,"24,281.00","14,949,624.60"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,49,2025-08-17,585.00,618.00,585.00,613.45,5.76,"41,812.00","25,490,868.30"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,50,2025-08-14,575.10,588.80,575.10,580.06,-0.19,"14,762.00","8,589,867.00"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,51,2025-08-13,580.10,591.00,580.00,581.15,-0.77,"17,593.00","10,280,202.60"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,52,2025-08-12,585.60,586.10,580.00,585.64,-0.46,"12,947.00","7,556,253.80"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,53,2025-08-11,586.00,595.00,584.00,588.32,-0.13,"18,118.00","10,665,847.80"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,54,2025-08-07,580.80,594.00,580.00,589.10,1.46,"14,474.00","8,481,543.00"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,55,2025-08-06,601.30,601.30,580.00,580.60,-1.52,"10,376.00","6,064,079.40"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,56,2025-08-05,609.00,610.00,585.00,589.54,-2.79,"20,176.00","12,000,637.30"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,57,2025-08-04,600.00,612.00,590.00,606.47,0.76,"22,791.00","13,684,570.30"
uhewa,Upper Hewakhola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/uhewa,58,2025-08-03,608.10,620.00,597.00,601.92,-2.98,"28,627.00","17,359,819.20"
