symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,1,2025-11-19,449.70,460.00,449.60,455.50,-0.55,"13,454.00","6,101,537.60"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,2,2025-11-18,448.70,463.50,448.10,458.00,0.66,"12,726.00","5,812,747.70"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,3,2025-11-17,465.00,465.00,448.00,455.00,-0.44,"6,823.00","3,097,464.00"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,4,2025-11-16,434.00,465.90,434.00,457.00,3.39,"45,718.00","20,948,729.20"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,5,2025-11-13,427.00,446.00,427.00,442.00,3.37,"13,864.00","6,088,462.90"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,6,2025-11-12,435.00,443.00,427.50,427.60,-3.48,"5,903.00","2,559,435.10"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,7,2025-11-11,445.00,447.00,432.00,443.00,0.68,"5,249.00","2,312,106.80"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,8,2025-11-10,432.40,440.00,425.40,440.00,0.02,"2,877.00","1,245,255.30"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,9,2025-11-09,436.00,448.80,433.20,439.90,-0.48,"4,788.00","2,114,061.60"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,10,2025-11-06,435.20,447.70,435.20,442.00,0.45,"6,743.00","2,986,725.90"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,11,2025-11-05,448.00,448.00,432.40,440.00,0.00,"2,430.00","1,056,140.00"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,12,2025-11-04,440.20,445.00,435.00,440.00,-2.00,"12,091.00","5,337,988.30"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,13,2025-11-03,446.10,455.10,444.00,449.00,-1.32,"5,875.00","2,637,777.00"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,14,2025-11-02,438.50,455.00,438.50,455.00,4.12,"9,984.00","4,466,047.20"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,15,2025-10-30,428.00,450.80,428.00,437.00,0.21,"7,220.00","3,184,972.80"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,16,2025-10-29,455.00,455.00,435.00,436.10,-2.66,"5,751.00","2,543,384.20"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,17,2025-10-28,431.80,448.00,417.70,448.00,5.16,"3,701.00","1,602,267.60"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,18,2025-10-26,420.00,427.90,411.70,426.00,1.43,"5,961.00","2,481,511.30"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,19,2025-10-19,426.90,428.00,418.50,420.00,-1.62,"3,680.00","1,550,761.90"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,20,2025-10-16,435.70,435.70,418.00,426.90,-3.89,"5,221.00","2,210,637.20"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,21,2025-10-15,443.00,450.00,428.30,444.20,-1.73,"9,775.00","4,255,772.50"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,22,2025-10-14,444.50,452.00,444.00,452.00,-0.22,"2,767.00","1,232,340.10"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,23,2025-10-13,440.00,454.00,440.00,453.00,2.26,"6,168.00","2,760,427.00"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,24,2025-10-12,462.00,462.00,442.20,443.00,-5.90,"6,829.00","3,067,640.70"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,25,2025-10-09,465.10,480.00,452.10,470.80,2.79,"11,533.00","5,336,363.40"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,26,2025-10-08,465.00,465.00,439.80,458.00,0.28,"8,448.00","3,782,948.70"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,27,2025-10-07,472.00,475.00,456.70,456.70,-5.05,"6,287.00","2,922,102.60"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,28,2025-09-28,480.00,487.40,475.00,481.00,0.21,"3,437.00","1,644,495.10"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,29,2025-09-25,479.00,483.90,474.40,480.00,0.02,"8,036.00","3,837,280.90"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,30,2025-09-24,465.10,482.40,465.10,479.90,1.46,"6,606.00","3,138,031.50"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,31,2025-09-23,457.50,473.90,457.50,473.00,3.64,"16,349.00","7,660,010.30"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,32,2025-09-21,429.10,470.00,429.10,456.38,4.43,"11,978.00","5,399,058.30"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,33,2025-09-18,441.40,445.00,437.00,437.00,-2.97,327.00,"144,701.00"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,34,2025-09-08,463.50,463.50,446.40,450.38,-2.91,"11,844.00","5,347,878.10"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,35,2025-09-07,468.00,469.20,459.00,463.89,-0.79,"5,516.00","2,542,876.50"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,36,2025-09-04,480.00,480.00,451.00,467.58,-1.36,"10,016.00","4,629,780.50"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,37,2025-09-03,479.00,485.00,461.00,474.04,-1.26,"6,758.00","3,225,347.60"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,38,2025-09-02,480.10,492.00,479.00,480.10,-0.98,"9,979.00","4,796,759.30"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,39,2025-09-01,486.00,488.00,480.10,484.87,-0.23,"11,690.00","5,654,632.60"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,40,2025-08-31,477.70,495.90,477.70,485.98,-0.07,"9,197.00","4,463,007.40"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,41,2025-08-28,493.00,510.00,486.00,486.34,-1.49,"12,282.00","6,036,570.90"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,42,2025-08-27,483.10,502.70,483.10,493.68,1.32,"11,842.00","5,846,902.00"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,43,2025-08-26,481.20,499.00,481.20,487.25,-0.72,"5,117.00","2,489,227.60"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,44,2025-08-25,490.00,496.00,481.00,490.79,1.35,"12,109.00","5,938,361.30"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,45,2025-08-24,491.00,492.10,482.60,484.25,-1.42,"19,132.00","9,294,613.20"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,46,2025-08-21,499.10,510.00,490.00,491.25,-3.04,"27,878.00","13,843,523.40"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,47,2025-08-20,506.90,511.00,501.60,506.63,-0.05,"8,534.00","4,327,687.20"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,48,2025-08-19,508.10,528.00,505.00,506.90,-2.23,"22,084.00","11,364,494.50"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,49,2025-08-18,501.50,524.00,490.00,518.44,5.43,"86,855.00","44,433,986.40"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,50,2025-08-17,483.00,495.00,483.00,491.75,2.15,"14,393.00","7,062,892.30"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,51,2025-08-14,481.00,494.90,478.00,481.38,-0.82,"15,093.00","7,293,298.20"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,52,2025-08-13,490.00,499.00,483.70,485.37,0.64,"18,074.00","8,885,685.90"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,53,2025-08-12,490.00,490.00,472.00,482.29,0.33,"10,316.00","4,925,170.70"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,54,2025-08-11,500.00,500.00,480.20,480.68,-2.12,"18,432.00","8,933,910.80"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,55,2025-08-07,485.00,495.00,482.30,491.08,1.17,"11,585.00","5,692,861.10"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,56,2025-08-06,478.30,501.80,478.30,485.39,-0.53,"6,450.00","3,145,887.40"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,57,2025-08-05,500.00,504.00,484.10,487.98,-1.91,"18,394.00","9,061,353.70"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,58,2025-08-04,511.00,511.00,493.00,497.48,-1.06,"13,136.00","6,548,414.70"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,59,2025-08-03,513.00,523.00,499.80,502.79,-0.13,"17,326.00","8,784,742.30"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,60,2025-07-31,495.10,512.70,495.10,503.42,0.14,"25,762.00","13,009,969.50"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,61,2025-07-30,504.30,524.50,500.00,502.74,-2.29,"15,675.00","7,926,631.70"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,62,2025-07-29,520.90,526.80,511.00,514.50,0.73,"29,752.00","15,414,666.50"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,63,2025-07-28,509.00,515.00,495.00,510.75,0.49,"32,288.00","16,273,342.10"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,64,2025-07-27,535.60,535.60,508.00,508.27,-3.22,"51,656.00","26,739,839.90"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,65,2025-07-24,540.20,540.20,519.00,525.16,-0.84,"37,856.00","19,870,745.30"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,66,2025-07-23,525.00,537.00,511.10,529.61,0.07,"40,662.00","21,249,598.30"
ulhc,Upper Lohore Khola Hydropower Company Limited,Hydropower,https://www.sharesansar.com/company/ulhc,67,2025-07-22,526.50,540.00,524.10,529.22,2.52,"43,769.00","23,135,814.40"
