symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,1,2025-11-19,541.00,559.00,541.00,552.00,0.09,"1,599.00","879,953.30"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,2,2025-11-18,550.00,560.00,549.00,551.50,0.29,"10,083.00","5,583,149.50"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,3,2025-11-17,543.00,551.00,542.00,549.90,0.90,"6,388.00","3,497,534.60"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,4,2025-11-16,526.00,547.00,526.00,545.00,1.68,"2,544.00","1,380,321.20"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,5,2025-11-13,536.00,552.90,535.80,536.00,-1.34,"10,252.00","5,534,783.30"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,6,2025-11-12,546.00,547.10,543.20,543.30,-1.40,"2,624.00","1,429,367.70"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,7,2025-11-11,546.40,555.00,546.40,551.00,1.08,"3,120.00","1,723,919.30"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,8,2025-11-10,543.10,558.90,543.10,545.10,-1.34,"4,886.00","2,672,495.20"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,9,2025-11-09,546.40,560.00,546.40,552.50,-0.09,"1,080.00","593,494.60"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,10,2025-11-06,557.00,565.00,553.00,553.00,-2.64,"6,681.00","3,709,951.00"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,11,2025-11-05,560.90,568.00,550.00,568.00,1.43,"10,095.00","5,616,697.00"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,12,2025-11-04,578.00,579.90,551.00,560.00,-1.93,"6,251.00","3,516,249.30"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,13,2025-11-03,572.30,579.00,567.00,571.00,-0.61,"12,883.00","7,368,650.30"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,14,2025-11-02,580.30,580.30,570.00,574.50,0.97,"9,029.00","5,205,291.50"
umrh,United Idi-Mardi and R.B. Hydropower Limited,Hydropower,https://www.sharesansar.com/company/umrh,15,2025-10-30,555.00,570.00,549.30,569.00,0.71,"8,010.00","4,549,662.20"
