symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,1,2025-11-19,529.59,529.59,510.00,514.90,-1.92,"214,479.00","110,457,987.50"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,2,2025-11-18,540.00,540.00,522.00,525.00,-1.32,"155,398.00","81,846,636.00"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,3,2025-11-17,518.10,532.00,518.10,532.00,1.35,"250,901.00","131,884,328.60"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,4,2025-11-16,535.50,535.50,519.00,524.90,-0.02,"318,414.00","166,294,205.70"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,5,2025-11-13,521.90,525.00,517.60,525.00,0.79,"255,692.00","133,088,368.60"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,6,2025-11-12,518.00,526.00,517.00,520.90,-0.29,"260,308.00","135,570,413.10"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,7,2025-11-11,529.00,530.00,521.20,522.40,-0.38,"88,797.00","46,506,656.80"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,8,2025-11-10,525.10,529.80,515.10,524.40,-0.11,"493,543.00","257,809,511.80"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,9,2025-11-09,540.00,545.00,521.40,525.00,-3.05,"520,278.00","277,673,684.70"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,10,2025-11-06,529.00,544.00,529.00,541.50,0.48,"362,216.00","195,234,684.00"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,11,2025-11-05,530.00,554.70,529.10,538.90,1.60,"710,259.00","386,152,484.40"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,12,2025-11-04,523.40,540.00,521.00,530.40,-0.67,"355,017.00","187,691,713.10"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,13,2025-11-03,539.50,546.60,529.00,534.00,0.95,"439,125.00","236,265,547.50"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,14,2025-11-02,510.00,549.00,510.00,529.00,3.12,"646,245.00","343,055,803.30"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,15,2025-10-30,528.80,528.80,512.10,513.00,-1.06,"362,817.00","187,555,534.40"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,16,2025-10-29,515.00,529.00,515.00,518.50,0.68,"452,418.00","236,529,143.80"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,17,2025-10-28,492.00,524.00,485.30,515.00,4.67,"460,327.00","232,268,864.20"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,18,2025-10-26,505.00,507.50,486.50,492.00,-1.20,"375,811.00","187,035,418.40"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,19,2025-10-19,476.00,501.00,470.20,498.00,5.51,"344,698.00","169,704,934.30"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,20,2025-10-16,482.40,482.40,470.00,472.00,-0.21,"195,805.00","93,302,516.90"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,21,2025-10-15,476.90,483.00,466.60,473.00,0.85,"273,322.00","129,861,937.90"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,22,2025-10-14,496.70,496.70,468.00,469.00,-3.70,"211,447.00","101,888,061.50"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,23,2025-10-13,480.00,492.00,468.60,487.00,1.88,"325,888.00","157,391,563.90"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,24,2025-10-12,520.00,523.00,475.00,478.00,-7.36,"726,673.00","363,340,311.80"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,25,2025-10-09,510.00,529.90,502.00,516.00,3.20,"528,220.00","271,207,645.70"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,26,2025-10-08,515.00,517.00,497.00,500.00,-1.57,"483,048.00","244,910,597.30"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,27,2025-10-07,495.00,525.30,490.00,508.00,2.42,"554,698.00","283,136,513.10"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,28,2025-09-28,475.00,505.00,473.00,496.00,5.33,"490,483.00","241,146,636.20"
unhpl,Union Hydropower Limited,Hydropower,https://www.sharesansar.com/company/unhpl,29,2025-09-25,474.30,484.00,464.00,470.90,-0.72,"389,469.00","183,437,252.20"
