symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,1,2025-11-19,370.00,370.00,362.50,363.00,-1.09,"48,450.00","17,695,973.00"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,2,2025-11-18,368.00,371.00,364.00,367.00,0.58,"95,705.00","35,306,388.90"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,3,2025-11-17,362.90,367.50,356.50,364.90,1.93,"60,907.00","22,136,051.80"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,4,2025-11-16,361.00,362.00,357.20,358.00,-1.49,"100,334.00","36,045,915.30"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,5,2025-11-13,355.00,365.80,355.00,363.40,0.58,"52,611.00","19,113,775.40"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,6,2025-11-12,375.20,375.20,360.20,361.30,-1.79,"49,287.00","17,882,906.90"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,7,2025-11-11,373.30,373.30,364.00,367.90,0.52,"85,923.00","31,541,518.70"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,8,2025-11-10,376.30,376.30,362.10,366.00,-0.81,"71,022.00","26,033,570.10"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,9,2025-11-09,377.90,378.00,365.10,369.00,-1.55,"102,733.00","37,825,792.30"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,10,2025-11-06,381.00,386.50,372.00,374.80,-0.58,"202,656.00","76,691,550.20"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,11,2025-11-05,382.50,382.50,368.00,377.00,0.53,"137,967.00","51,352,943.10"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,12,2025-11-04,380.20,387.00,372.00,375.00,-1.32,"186,504.00","70,578,199.70"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,13,2025-11-03,382.00,392.00,378.50,380.00,-1.04,"226,375.00","86,962,335.90"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,14,2025-11-02,390.00,392.70,376.00,384.00,0.00,"253,217.00","98,073,176.30"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,15,2025-10-30,370.70,385.00,358.30,384.00,5.64,"369,523.00","138,538,908.90"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,16,2025-10-29,364.00,378.90,360.90,363.50,-0.49,"151,351.00","55,899,207.80"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,17,2025-10-28,352.90,370.00,345.10,365.30,4.61,"132,302.00","47,971,470.40"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,18,2025-10-26,345.10,353.90,345.10,349.20,-0.23,"52,485.00","18,301,377.80"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,19,2025-10-19,349.00,355.90,343.10,350.00,0.29,"82,730.00","29,062,867.30"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,20,2025-10-16,354.90,355.90,345.30,349.00,-0.57,"111,217.00","38,729,698.80"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,21,2025-10-15,353.00,360.00,348.30,351.00,-2.50,"98,063.00","34,518,442.30"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,22,2025-10-14,369.00,371.50,352.80,360.00,-1.37,"121,879.00","43,933,815.80"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,23,2025-10-13,345.20,369.90,345.00,365.00,4.23,"192,572.00","69,296,213.20"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,24,2025-10-12,366.00,366.00,348.00,350.20,-3.58,"155,729.00","54,892,645.60"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,25,2025-10-09,369.20,385.00,363.00,363.20,0.33,"164,489.00","61,066,792.40"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,26,2025-10-08,375.00,381.00,358.40,362.00,-3.57,"233,334.00","85,382,350.70"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,27,2025-10-07,390.70,391.80,375.40,375.40,-3.50,"113,099.00","43,244,152.70"
upcl,Universal Power Company Limited,Hydropower,https://www.sharesansar.com/company/upcl,28,2025-09-28,384.00,389.60,378.00,389.00,1.81,"126,102.00","48,514,492.00"
