symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,1,2025-11-19,"1,830.00","1,830.00","1,778.00","1,778.00",-1.00,"12,837.00","23,070,598.80"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,2,2025-11-18,"1,856.00","1,856.00","1,796.00","1,796.00",-1.32,"11,497.00","20,860,160.90"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,3,2025-11-17,"1,846.10","1,846.10","1,800.00","1,820.00",0.55,"6,802.00","12,334,422.90"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,4,2025-11-16,"1,847.30","1,887.00","1,808.10","1,810.00",-3.98,"18,540.00","34,011,186.20"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,5,2025-11-13,"1,924.00","1,924.00","1,860.00","1,885.00",-0.21,"6,839.00","12,790,220.80"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,6,2025-11-12,"1,950.00","1,950.00","1,817.00","1,889.00",-3.13,"28,473.00","54,410,214.00"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,7,2025-11-11,"1,914.80","1,953.00","1,821.00","1,950.00",-0.19,"8,272.00","15,706,839.80"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,8,2025-11-10,"2,170.80","2,170.80","1,953.80","1,953.80",-10.00,"40,099.00","79,061,677.10"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,9,2025-11-09,"2,363.80","2,363.80","2,170.80","2,170.80",-10.00,"2,035.00","4,464,587.00"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,10,2025-11-06,"2,186.40","2,412.00","2,007.90","2,412.00",8.11,"55,120.00","114,305,840.30"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,11,2025-11-05,"1,990.10","2,231.00","1,981.10","2,231.00",9.96,"35,529.00","73,464,710.90"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,12,2025-11-04,"2,100.00","2,130.00","1,962.00","2,029.00",-3.38,"26,240.00","53,749,010.40"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,13,2025-11-03,"2,156.00","2,270.00","1,990.00","2,100.00",-4.55,"40,913.00","86,779,560.10"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,14,2025-11-02,"2,042.00","2,202.00","2,042.00","2,200.00",9.88,"20,721.00","44,026,831.30"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,15,2025-10-30,"1,856.00","2,002.10","1,837.50","2,002.10",10.00,"41,895.00","80,961,434.50"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,16,2025-10-29,"1,806.50","1,909.40","1,800.00","1,820.10",2.77,"14,734.00","27,159,285.70"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,17,2025-10-28,"1,682.00","1,834.00","1,682.00","1,771.10",3.27,"8,364.00","14,985,682.90"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,18,2025-10-26,"1,780.00","1,866.00","1,705.20","1,715.10",-4.72,"7,814.00","13,767,474.50"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,19,2025-10-19,"1,828.00","1,828.00","1,777.10","1,800.00",0.33,"2,576.00","4,651,026.00"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,20,2025-10-16,"1,812.60","1,954.00","1,760.00","1,794.10",0.96,"49,391.00","89,318,674.00"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,21,2025-10-15,"1,775.10","1,828.00","1,775.10","1,777.10",-1.11,"3,197.00","5,777,386.20"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,22,2025-10-14,"1,830.90","1,881.90","1,766.50","1,797.00",0.11,"20,213.00","36,596,672.20"
uslb,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance,https://www.sharesansar.com/company/uslb,23,2025-10-13,"1,827.80","1,899.20","1,760.00","1,795.00",0.17,"6,654.00","12,237,448.20"
