symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,1,2025-07-13,458.00,458.00,458.00,458.00,0.00,"2,228.00","1,020,424.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,2,2025-06-18,458.00,458.00,458.00,458.00,0.00,"8,704.00","3,986,432.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,3,2025-05-28,458.00,458.00,458.00,458.00,0.00,"14,241.00","6,522,378.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,4,2024-12-22,495.00,495.00,495.00,495.00,0.00,"15,000.00","7,425,000.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,5,2024-12-08,495.00,495.00,495.00,495.00,0.00,"4,000.00","1,980,000.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,6,2024-09-16,327.00,327.00,327.00,327.00,0.00,"8,704.00","2,846,208.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,7,2024-09-01,327.00,327.00,327.00,327.00,0.00,900.00,"294,300.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,8,2024-08-12,327.00,327.00,327.00,327.00,0.00,"6,000.00","1,962,000.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,9,2024-07-18,327.00,327.00,327.00,327.00,0.00,"10,288.00","3,364,176.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,10,2024-05-19,327.00,327.00,327.00,327.00,0.00,"3,644.00","1,191,588.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,11,2024-04-28,327.00,327.00,327.00,327.00,0.00,"6,000.00","1,962,000.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,12,2024-03-03,327.00,327.00,327.00,327.00,0.00,"10,832.00","3,542,064.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,13,2024-02-27,327.00,327.00,327.00,327.00,0.00,"18,375.00","6,008,625.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,14,2023-07-03,404.00,404.00,404.00,404.00,0.00,"10,050.00","4,060,200.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,15,2022-10-31,448.00,448.00,448.00,448.00,0.00,"4,570.00","2,047,360.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,16,2022-10-20,448.00,448.00,448.00,448.00,0.00,"4,500.00","2,016,000.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,17,2022-10-10,448.00,448.00,448.00,448.00,0.00,"1,534.00","687,232.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,18,2021-08-19,976.00,976.00,976.00,976.00,0.00,"3,808.00","3,716,608.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,19,2021-08-18,976.00,976.00,976.00,976.00,0.00,"9,521.00","9,292,496.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,20,2021-08-17,976.00,976.00,976.00,976.00,0.00,"10,200.00","9,955,200.00"
vlbspo,Vijaya Laghubitta Bittiya Sanstha Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/vlbspo,21,2021-08-01,976.00,976.00,976.00,976.00,0.00,"2,530.00","2,469,280.00"
