symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,1,2025-11-19,568.00,568.00,551.00,557.90,-0.20,"2,081.00","1,148,728.50"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,2,2025-11-18,565.00,571.20,550.00,559.00,-0.18,"4,321.00","2,404,644.60"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,3,2025-11-17,550.00,560.00,541.40,560.00,0.00,"2,339.00","1,297,154.70"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,4,2025-11-16,550.10,560.00,550.10,560.00,0.18,"1,345.00","745,116.00"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,5,2025-11-13,549.00,565.00,549.00,559.00,-0.18,"3,242.00","1,802,241.30"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,6,2025-11-12,559.00,565.00,555.10,560.00,-1.75,"4,829.00","2,700,687.60"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,7,2025-11-11,575.90,575.90,555.30,570.00,0.90,"3,517.00","1,968,519.20"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,8,2025-11-10,574.20,574.20,553.70,564.90,0.34,"4,634.00","2,595,032.00"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,9,2025-11-09,560.00,570.00,558.00,563.00,-0.88,"4,303.00","2,419,495.10"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,10,2025-11-06,558.30,572.00,555.00,568.00,-0.02,"5,174.00","2,911,216.40"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,11,2025-11-05,557.80,570.00,557.00,568.10,-0.18,"2,822.00","1,586,813.40"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,12,2025-11-04,560.10,580.00,560.10,569.10,-0.16,"3,862.00","2,185,050.20"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,13,2025-11-03,572.00,580.00,560.70,570.00,-2.06,"12,121.00","6,902,404.60"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,14,2025-11-02,578.00,589.50,567.00,582.00,0.69,"5,992.00","3,464,070.70"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,15,2025-10-30,570.00,581.40,563.10,578.00,-0.31,"11,406.00","6,510,028.90"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,16,2025-10-29,564.10,590.00,564.00,579.80,0.83,"7,335.00","4,226,202.60"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,17,2025-10-28,543.90,578.00,543.90,575.00,3.60,"9,440.00","5,394,290.10"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,18,2025-10-26,563.50,579.90,541.30,555.00,-3.46,"3,992.00","2,191,365.40"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,19,2025-10-19,560.00,580.00,550.00,574.90,2.48,"4,860.00","2,703,057.00"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,20,2025-10-16,557.00,571.90,550.00,561.00,0.00,"6,092.00","3,385,177.30"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,21,2025-10-15,578.00,578.00,516.00,561.00,-1.23,"14,942.00","8,322,663.10"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,22,2025-10-14,563.00,582.40,553.30,568.00,-0.53,"8,094.00","4,528,867.80"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,23,2025-10-13,540.00,589.50,530.00,571.00,4.56,"9,237.00","5,139,862.70"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,24,2025-10-12,576.00,576.00,546.10,546.10,-4.19,"13,303.00","7,385,445.50"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,25,2025-10-09,584.60,597.00,552.10,570.00,-0.56,"4,929.00","2,882,276.10"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,26,2025-10-08,585.00,596.00,554.20,573.20,-2.02,"7,951.00","4,527,108.80"
vlucl,Vision Lumbini Urja Company Limited,Hydropower,https://www.sharesansar.com/company/vlucl,27,2025-10-07,603.00,611.90,547.90,585.00,-3.31,"17,625.00","10,493,606.50"
