symbol,company_name,sector,symbol_link,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,1,2016-10-19,101.00,101.00,101.00,101.00,0.00,"80,000.00","8,080,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,2,2016-10-02,101.00,101.00,101.00,101.00,0.00,"150,000.00","15,150,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,3,2016-07-17,100.00,101.00,101.00,101.00,0.00,"69,207.00","6,989,907.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,4,2016-07-11,100.00,100.00,100.00,100.00,0.00,"80,430.00","8,043,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,5,2016-07-10,100.00,100.00,100.00,100.00,0.00,"160,858.00","16,085,800.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,6,2016-06-15,100.00,100.00,100.00,100.00,0.00,"100,000.00","10,000,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,7,2016-03-29,100.00,100.00,100.00,100.00,0.00,"10,000.00","1,000,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,8,2016-03-01,100.00,100.00,100.00,100.00,0.00,"138,471.00","13,847,100.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,9,2016-01-27,100.00,100.00,100.00,100.00,0.00,"20,000.00","2,000,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,10,2016-01-07,100.00,100.00,100.00,100.00,0.00,"5,000.00","500,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,11,2015-11-05,100.00,100.00,100.00,100.00,0.00,"25,000.00","2,500,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,12,2015-09-10,100.00,100.00,100.00,100.00,0.00,"150,000.00","15,000,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,13,2015-06-24,102.00,100.00,100.00,100.00,0.00,"31,469.00","3,146,900.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,14,2015-04-20,100.00,102.00,102.00,102.00,0.00,"75,000.00","7,650,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,15,2015-04-08,100.00,100.00,100.00,100.00,0.00,"65,000.00","6,500,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,16,2015-03-03,100.00,100.00,100.00,100.00,0.00,"156,830.00","15,683,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,17,2015-03-02,100.00,100.00,100.00,100.00,0.00,"150,000.00","15,000,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,18,2014-11-09,102.00,100.00,100.00,100.00,0.00,"75,000.00","7,500,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,19,2014-11-06,100.00,102.00,102.00,102.00,0.00,"10,000.00","1,020,000.00"
yetipo,Yeti Development Bank Limited Promoter Share,Promoter Share,https://www.sharesansar.com/company/yetipo,20,2014-10-19,0.00,100.00,100.00,100.00,0.00,"23,200.00","2,320,000.00"
